sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,experiment_type,prompt_level,prompt_code,conflict_strength,prompt_text,expected_answer,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes
12280_ES1,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
12280_ES2,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
12280_ES3,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
12280_ES4,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
48396_ES1,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
48396_ES2,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
48396_ES3,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
48396_ES4,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
51326_ES1,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
51326_ES2,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
51326_ES3,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
51326_ES4,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
56344_ES1,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
56344_ES2,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
56344_ES3,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
56344_ES4,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
61960_ES1,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
61960_ES2,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
61960_ES3,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
61960_ES4,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
129054_ES1,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
129054_ES2,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
129054_ES3,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
129054_ES4,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
129812_ES1,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
