model_key,model_name,checkpoint_name,condition_name,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_rate_ci_low,conflict_aligned_rate_ci_high,hallucination_rate,hallucination_rate_ci_low,hallucination_rate_ci_high,faithful_n,faithful_rate,faithful_rate_ci_low,faithful_rate_ci_high,other_wrong_n,other_wrong_rate,other_wrong_rate_ci_low,other_wrong_rate_ci_high,refusal_or_correction_n,refusal_or_correction_rate,parse_error_n,parse_error_rate,in_allowed_answer_space_n,answer_space_compliance_rate,answer_space_compliance_ci_low,answer_space_compliance_ci_high,out_of_allowed_answer_space_n,out_of_allowed_answer_space_rate,in_space_conflict_aligned_n,in_space_conflict_aligned_rate,out_of_space_faithful_n,out_of_space_faithful_rate,other_answer_space_behavior_n,other_answer_space_behavior_rate
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C0_neutral,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C1_weak_suggestion,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C2_false_assertion_open,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C0_neutral,93,0,0.0,0.0,0.03888899853427581,0.0,0.0,0.03888899853427581,93,1.0,0.9611110014657241,1.0,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,0,0.0,0,0.0,93,1.0
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C1_weak_suggestion,93,1,0.010752688172043012,0.00027219744200713874,0.05845816451438039,0.010752688172043012,0.00027219744200713874,0.05845816451438039,92,0.989247311827957,0.9415418354856196,0.9997278025579929,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,1,0.010752688172043012,0,0.0,92,0.989247311827957
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C2_false_assertion_open,93,1,0.010752688172043012,0.00027219744200713874,0.05845816451438039,0.010752688172043012,0.00027219744200713874,0.05845816451438039,92,0.989247311827957,0.9415418354856196,0.9997278025579929,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,1,0.010752688172043012,0,0.0,92,0.989247311827957
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_presupposition_correction_allowed,93,13,0.13978494623655913,0.07658167908770448,0.227168770159847,0.13978494623655913,0.07658167908770448,0.227168770159847,80,0.8602150537634409,0.772831229840153,0.9234183209122955,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,13,0.13978494623655913,0,0.0,80,0.8602150537634409
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C4_stronger_open_conflict,93,3,0.03225806451612903,0.006702440584782253,0.09138779483020229,0.03225806451612903,0.006702440584782253,0.09138779483020229,90,0.967741935483871,0.9086122051697977,0.9932975594152178,0,0.0,0.0,0.03888899853427581,0,0.0,0,0.0,93,1.0,0.9611110014657241,1.0,0,0.0,3,0.03225806451612903,0,0.0,90,0.967741935483871
