image_id,source_dataset,split,source_path,staged_path,assigned_true_color,reviewer_note
vcor_test_red_1fc0badd4a,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/1fc0badd4a.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1fc0badd4a.jpg,red,auto_keep_rank=7; quality_score=4.7146; passes_auto_screen
vcor_test_red_380d56f7d0,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/380d56f7d0.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_380d56f7d0.jpg,red,auto_keep_rank=2; quality_score=4.8704; passes_auto_screen
vcor_test_red_3d6b949e84,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/3d6b949e84.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_3d6b949e84.jpg,red,auto_keep_rank=4; quality_score=4.7716; passes_auto_screen
vcor_test_red_5211e70646,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/5211e70646.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5211e70646.jpg,red,auto_keep_rank=8; quality_score=4.7082; passes_auto_screen
vcor_test_red_6d3dba47da,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/6d3dba47da.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6d3dba47da.jpg,red,auto_keep_rank=3; quality_score=4.8205; passes_auto_screen
vcor_test_red_72f8a1b67c,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/72f8a1b67c.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_72f8a1b67c.jpg,red,auto_keep_rank=1; quality_score=4.9009; passes_auto_screen
vcor_test_red_77bb096381,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/77bb096381.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_77bb096381.jpg,red,auto_keep_rank=6; quality_score=4.7186; passes_auto_screen
vcor_test_red_8022dd2e64,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/8022dd2e64.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_8022dd2e64.jpg,red,auto_keep_rank=10; quality_score=4.6771; passes_auto_screen
vcor_test_red_8037b54fbb,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/8037b54fbb.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_8037b54fbb.jpg,red,auto_keep_rank=5; quality_score=4.7607; passes_auto_screen
vcor_test_red_80491fc745,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/80491fc745.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_80491fc745.jpg,red,auto_keep_rank=9; quality_score=4.6889; passes_auto_screen
vcor_test_blue_01401b6d76,VCoR,test,data_external/vcor_raw/vcor_extracted/test/blue/01401b6d76.jpg,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_01401b6d76.jpg,blue,auto_keep_rank=29; quality_score=4.9145; passes_auto_screen
vcor_test_blue_19bb38978c,VCoR,test,data_external/vcor_raw/vcor_extracted/test/blue/19bb38978c.jpg,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_19bb38978c.jpg,blue,auto_keep_rank=25; quality_score=4.9412; passes_auto_screen
vcor_test_blue_2ac156ba67,VCoR,test,data_external/vcor_raw/vcor_extracted/test/blue/2ac156ba67.jpg,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_2ac156ba67.jpg,blue,auto_keep_rank=2; quality_score=5.2540; passes_auto_screen
