model_key,model,reference_condition,condition_name,condition,true_color,false_prompt_color,pair_family,n_pairs,c0_faithful_n,current_faithful_n,faithful_to_faithful_n,faithful_to_conflict_aligned_n,answer_flip_n,answer_flip_rate,conflict_following_rate,paired_discordant_current_only,paired_discordant_c0_only,p_value_exact_mcnemar
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,black,white,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,white,black,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C1,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,black,white,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,white,black,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C2_false_assertion_open,C2,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,black,white,achromatic_black_white,50,50,49,49,1,1,0.02,0.02,1,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,white,black,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C3_presupposition_correction_allowed,C3,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,black,white,achromatic_black_white,50,50,49,49,1,1,0.02,0.02,1,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,white,black,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C4_stronger_open_conflict,C4,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,black,white,achromatic_black_white,50,50,49,49,1,1,0.02,0.02,1,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,white,black,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C1_weak_suggestion,C1,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,black,white,achromatic_black_white,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,blue,red,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,green,yellow,green_yellow,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,red,blue,red_blue,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,white,black,achromatic_black_white,50,50,47,47,3,3,0.06,0.06,3,0,0.25
llava15_7b,LLaVA-1.5-7B,C0_neutral,C2_false_assertion_open,C2,yellow,red,yellow_red,50,50,50,50,0,0,0.0,0.0,0,0,1.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C3_presupposition_correction_allowed,C3,black,white,achromatic_black_white,50,50,47,47,3,3,0.06,0.06,3,0,0.25
