sample_id,image_id,file_name,image_path,original_image_path,experiment_type,dataset_name,target_object,attribute_type,truth_source,true_color,acceptable_true_colors,conflict_color,condition_family,condition_name,condition_index,prompt_template_version,prompt_text,expected_output_space,expected_output_map,include_in_primary_main_analysis,source_dataset,notes,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error,prompt_level,normalized_output,allowed_answer_space,parsed_label,parse_success,parse_method,one_label_only,in_allowed_answer_space,correction_detected,refusal_detected,outcome_type,is_conflict_aligned,is_faithful,is_other_wrong,is_refusal_or_correction,is_parse_error,parse_notes
test_03234_A1_forced_choice_red_family,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,7.6252,bright white,ok,,,bright white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
test_03234_A2_counterfactual_assumption,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7881,white,ok,,,white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
test_03550_A1_forced_choice_red_family,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7379,black,ok,,,black,"[""white"", ""off-white"", ""bright white""]",black,1,exact_single_label,1,0,0,0,faithful,0,1,0,0,0,parsed_nonstandard_color_label
test_03550_A2_counterfactual_assumption,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7968,white,ok,,,white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
test_03602_A1_forced_choice_red_family,test_03602,test_03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8101,black,ok,,,black,"[""white"", ""off-white"", ""bright white""]",black,1,exact_single_label,1,0,0,0,faithful,0,1,0,0,0,parsed_nonstandard_color_label
test_03602_A2_counterfactual_assumption,test_03602,test_03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8235,white,ok,,,white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
test_03801_A1_forced_choice_red_family,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8178,black,ok,,,black,"[""white"", ""off-white"", ""bright white""]",black,1,exact_single_label,1,0,0,0,faithful,0,1,0,0,0,parsed_nonstandard_color_label
test_03801_A2_counterfactual_assumption,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8133,white,ok,,,white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
test_05126_A1_forced_choice_red_family,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.7942,black,ok,,,black,"[""white"", ""off-white"", ""bright white""]",black,1,exact_single_label,1,0,0,0,faithful,0,1,0,0,0,parsed_nonstandard_color_label
test_05126_A2_counterfactual_assumption,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,bfloat16,cuda:0+cpu_offload,auto,1,1.8038,white,ok,,,white,"[""white"", ""off-white"", ""bright white""]",white,1,exact_single_label,1,1,0,0,conflict_aligned,1,0,0,0,0,
