sample_id,image_id,file_name,image_path,prompt_level,prompt_text,model_name,raw_output,label,language_consistent,vision_consistent,ambiguous,notes,status,error
12280_ES1,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
12280_ES2,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
12280_ES3,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
12280_ES4,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
48396_ES1,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no dog in the image.,,,,,,ok,
48396_ES2,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
48396_ES3,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
48396_ES4,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
51326_ES1,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
51326_ES2,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
51326_ES3,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
51326_ES4,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
56344_ES1,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
56344_ES2,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no dog in the image.,,,,,,ok,
56344_ES3,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
56344_ES4,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
61960_ES1,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
61960_ES2,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
61960_ES3,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
61960_ES4,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129054_ES1,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129054_ES2,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129054_ES3,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
129054_ES4,129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129812_ES1,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129812_ES2,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129812_ES3,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
129812_ES4,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
135902_ES1,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
135902_ES2,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
135902_ES3,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image.,,,,,,ok,
135902_ES4,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
373315_ES1,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
373315_ES2,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
373315_ES3,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
373315_ES4,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
431140_ES1,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,1,There is a dog in the image. Describe what it is doing.,Qwen2-VL-7B-Instruct,There is no dog in the image.,,,,,,ok,
431140_ES2,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,2,The dog in the image is clearly visible. What color is it?,Qwen2-VL-7B-Instruct,There is no dog in the image.,,,,,,ok,
431140_ES3,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,3,"Focus on the dog in the image. Is it sitting, standing, or running?",Qwen2-VL-7B-Instruct,There is no dog in the image.,,,,,,ok,
431140_ES4,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",Qwen2-VL-7B-Instruct,There is no existence of a dog in the image description.,,,,,,ok,
