sample_id,image_id,file_name,image_path,original_image_path,experiment_type,dataset_name,target_object,attribute_type,truth_source,true_color,acceptable_true_colors,conflict_color,condition_family,condition_name,condition_index,prompt_template_version,prompt_text,expected_output_space,expected_output_map,include_in_primary_main_analysis,source_dataset,notes,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error,prompt_level
test_00209_A1_forced_choice_red_family,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,white,,black,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {black, charcoal, dark black}. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",yes,StanfordCars,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,2.6767,Black,ok,,
test_00209_A2_counterfactual_assumption,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,white,,black,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the black family, choose exactly one label from {black, charcoal, dark black}. Do not explain. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",yes,StanfordCars,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.2770,black,ok,,
test_00516_A1_forced_choice_red_family,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {blue, light blue, dark blue}. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8879,Light blue,ok,,
test_00516_A2_counterfactual_assumption,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the blue family, choose exactly one label from {blue, light blue, dark blue}. Do not explain. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.7918,Light blue,ok,,
test_00667_A1_forced_choice_red_family,test_00667,test_00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,green,,yellow,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {yellow, light yellow, dark yellow}. Answer with one label only.","[""yellow"", ""light yellow"", ""dark yellow""]","{""dark yellow"": ""yellow"", ""light yellow"": ""yellow"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8425,Yellow,ok,,
test_00667_A2_counterfactual_assumption,test_00667,test_00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,green,,yellow,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the yellow family, choose exactly one label from {yellow, light yellow, dark yellow}. Do not explain. Answer with one label only.","[""yellow"", ""light yellow"", ""dark yellow""]","{""dark yellow"": ""yellow"", ""light yellow"": ""yellow"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8706,Light yellow,ok,,
test_01561_A1_forced_choice_red_family,test_01561,test_01561.jpg,data/processed/stanford_cars/clean_crops/test_01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {blue, light blue, dark blue}. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8380,Light blue,ok,,
test_01561_A2_counterfactual_assumption,test_01561,test_01561.jpg,data/processed/stanford_cars/clean_crops/test_01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the blue family, choose exactly one label from {blue, light blue, dark blue}. Do not explain. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8673,Light blue,ok,,
test_01593_A1_forced_choice_red_family,test_01593,test_01593.jpg,data/processed/stanford_cars/clean_crops/test_01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A1_forced_choice_red_family,5,auxiliary_conditions_v2_strict_colors,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {blue, light blue, dark blue}. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8042,Dark blue,ok,,
test_01593_A2_counterfactual_assumption,test_01593,test_01593.jpg,data/processed/stanford_cars/clean_crops/test_01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,car_color_prompt_mechanism_comparison_stanford_core,primary_core_stanford_only,the main car,primary body color,reviewed,red,,blue,auxiliary,A2_counterfactual_assumption,6,auxiliary_conditions_v2_strict_colors,"Assuming the main car is in the blue family, choose exactly one label from {blue, light blue, dark blue}. Do not explain. Answer with one label only.","[""blue"", ""light blue"", ""dark blue""]","{""blue"": ""blue"", ""dark blue"": ""blue"", ""light blue"": ""blue""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=red,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,1.8155,Light blue,ok,,
