image_id,split,class_id,class_name,file_name,original_path,cropped_path,width,height,quality_score,color_confidence,background_complexity,foreground_dominant_share,preliminary_color_guess,selection_rank,selection_bucket,selection_notes,split_or_subset
test_05126,test,140,Hyundai Azera Sedan 2012,test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,415,256,0.9028,0.98,0.5765,0.642,blue,1,guaranteed_blue,subset=stanford_cars_clean_main120; color=blue; quality_score=0.9028; bucket=guaranteed_blue,stanford_cars_clean_main120
train_06380,train,160,McLaren MP4-12C Coupe 2012,train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg,409,256,0.8751,0.929,0.0544,0.3478,other,2,guaranteed_other,subset=stanford_cars_clean_main120; color=other; quality_score=0.8751; bucket=guaranteed_other,stanford_cars_clean_main120
test_06382,test,40,Bentley Arnage Sedan 2009,test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,442,256,0.8699,0.879,0.2562,0.3724,black,3,guaranteed_black,subset=stanford_cars_clean_main120; color=black; quality_score=0.8699; bucket=guaranteed_black,stanford_cars_clean_main120
train_07828,train,119,GMC Savana Van 2012,train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,data/processed/stanford_cars/clean_crops/train_07828.jpg,378,256,0.8591,0.934,0.0587,0.4146,white,4,guaranteed_white,subset=stanford_cars_clean_main120; color=white; quality_score=0.8591; bucket=guaranteed_white,stanford_cars_clean_main120
test_03751,test,28,BMW 1 Series Coupe 2012,test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,385,256,0.8591,0.896,0.0402,0.257,white,5,guaranteed_white,subset=stanford_cars_clean_main120; color=white; quality_score=0.8591; bucket=guaranteed_white,stanford_cars_clean_main120
test_03302,test,124,HUMMER H3T Crew Cab 2010,test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,362,256,0.8531,0.949,0.3887,0.3023,red,6,guaranteed_red,subset=stanford_cars_clean_main120; color=red; quality_score=0.8531; bucket=guaranteed_red,stanford_cars_clean_main120
train_01446,train,144,Jaguar XK XKR 2012,train_01446.jpg,data/raw/stanford_cars/cars_train/01446.jpg,data/processed/stanford_cars/clean_crops/train_01446.jpg,363,256,0.853,0.842,0.3972,0.4012,white,7,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.853; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_02874,test,49,Buick Verano Sedan 2012,test_02874.jpg,data/raw/stanford_cars/cars_test/02874.jpg,data/processed/stanford_cars/clean_crops/test_02874.jpg,452,256,0.8371,0.917,0.0765,0.1742,other,8,guaranteed_other,subset=stanford_cars_clean_main120; color=other; quality_score=0.8371; bucket=guaranteed_other,stanford_cars_clean_main120
train_01561,train,170,Nissan Juke Hatchback 2012,train_01561.jpg,data/raw/stanford_cars/cars_train/01561.jpg,data/processed/stanford_cars/clean_crops/train_01561.jpg,364,256,0.8325,0.903,0.6331,0.4594,red,9,guaranteed_red,subset=stanford_cars_clean_main120; color=red; quality_score=0.8325; bucket=guaranteed_red,stanford_cars_clean_main120
train_05311,train,144,Jaguar XK XKR 2012,train_05311.jpg,data/raw/stanford_cars/cars_train/05311.jpg,data/processed/stanford_cars/clean_crops/train_05311.jpg,398,256,0.8317,0.85,0.2408,0.2786,black,10,guaranteed_black,subset=stanford_cars_clean_main120; color=black; quality_score=0.8317; bucket=guaranteed_black,stanford_cars_clean_main120
test_06328,test,176,Rolls-Royce Ghost Sedan 2012,test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,data/processed/stanford_cars/clean_crops/test_06328.jpg,377,256,0.8313,0.968,0.5038,0.327,blue,11,guaranteed_blue,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8313; bucket=guaranteed_blue,stanford_cars_clean_main120
