model_key,model,condition_name,condition,true_color,false_prompt_color,pair_family,n,conflict_aligned_n,conflict_aligned_rate,faithful_n
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,black,white,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,blue,red,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,green,yellow,green_yellow,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,red,blue,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,white,black,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,yellow,red,yellow_red,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,black,white,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,blue,red,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,green,yellow,green_yellow,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,red,blue,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,white,black,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,yellow,red,yellow_red,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,black,white,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,blue,red,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,green,yellow,green_yellow,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,red,blue,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,white,black,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,yellow,red,yellow_red,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,black,white,achromatic_black_white,50,1,0.02,49
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,blue,red,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,green,yellow,green_yellow,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,red,blue,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,white,black,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,yellow,red,yellow_red,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,black,white,achromatic_black_white,50,1,0.02,49
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,blue,red,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,green,yellow,green_yellow,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,red,blue,red_blue,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,white,black,achromatic_black_white,50,0,0.0,50
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,yellow,red,yellow_red,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,black,white,achromatic_black_white,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,blue,red,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,green,yellow,green_yellow,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,red,blue,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,white,black,achromatic_black_white,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,yellow,red,yellow_red,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,black,white,achromatic_black_white,50,1,0.02,49
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,blue,red,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,green,yellow,green_yellow,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,red,blue,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,white,black,achromatic_black_white,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,yellow,red,yellow_red,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,black,white,achromatic_black_white,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,blue,red,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,green,yellow,green_yellow,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,red,blue,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,white,black,achromatic_black_white,50,3,0.06,47
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,yellow,red,yellow_red,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,black,white,achromatic_black_white,50,3,0.06,47
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,blue,red,red_blue,50,4,0.08,46
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,green,yellow,green_yellow,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,red,blue,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,white,black,achromatic_black_white,50,20,0.4,30
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,yellow,red,yellow_red,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,black,white,achromatic_black_white,50,2,0.04,48
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,blue,red,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,green,yellow,green_yellow,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,red,blue,red_blue,50,0,0.0,50
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,white,black,achromatic_black_white,50,8,0.16,42
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,yellow,red,yellow_red,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,black,white,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,blue,red,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,green,yellow,green_yellow,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,red,blue,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,white,black,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C0_neutral,C0,yellow,red,yellow_red,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,black,white,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,blue,red,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,green,yellow,green_yellow,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,red,blue,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,white,black,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,yellow,red,yellow_red,50,0,0.0,50
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,black,white,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,blue,red,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,green,yellow,green_yellow,50,0,0.0,50
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,red,blue,red_blue,50,0,0.0,50
