audit_row_id,target_row_id,sample_id,image_id,image_path,model,condition,robustness_variant,audit_source_module,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,is_faithful,audit_group,parsed_label,match_strategy,audit_visual_clarity,audit_body_color_salience,audit_specular_reflection,audit_shadow_or_night_effect,audit_background_color_bias,audit_multi_car_interference,audit_occlusion,audit_notes,audit_reviewer,audit_review_date
audit_000,target_012_main_original_C3_train_08107,test_03602_C3_presupposition_correction_allowed,test_03602,data/processed/stanford_cars/clean_crops/test_03602.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_001,target_001_main_original_C3_test_03234,test_03801_C3_presupposition_correction_allowed,test_03801,data/processed/stanford_cars/clean_crops/test_03801.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,moderate,medium,moderate,moderate,none_minor,none,none,"Black vehicle is visible but angled and shadowed, with reflection on the body panels.",Codex local visual review,2026-05-01
audit_002,target_006_main_original_C3_test_08002,test_05126_C3_presupposition_correction_allowed,test_05126,data/processed/stanford_cars/clean_crops/test_05126.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,moderate,medium,strong,strong,moderate,none,none,Dark studio-style image with strong reflections; the black color is plausible but less visually clean.,Codex local visual review,2026-05-01
audit_003,target_005_main_original_C3_test_07534,test_03891_C3_presupposition_correction_allowed,test_03891,data/processed/stanford_cars/clean_crops/test_03891.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_004,target_008_main_original_C3_train_00771,test_07222_C3_presupposition_correction_allowed,test_07222,data/processed/stanford_cars/clean_crops/test_07222.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_005,target_013_main_original_C3_vcor_test_blue_19bb38978c,vcor_test_blue_6f138e9672_C3_presupposition_correction_allowed,vcor_test_blue_6f138e9672,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_6f138e9672.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,VCoR,False,True,matched_faithful_control,blue,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_006,target_014_main_original_C3_vcor_test_blue_fc0797898c,vcor_train_blue_01b4202a1f_C3_presupposition_correction_allowed,vcor_train_blue_01b4202a1f,data_external/vcor_selected/candidate_pool/blue/vcor_train_blue_01b4202a1f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,VCoR,False,True,matched_faithful_control,blue,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_007,target_004_main_original_C3_test_06383,test_01993_C3_presupposition_correction_allowed,test_01993,data/processed/stanford_cars/clean_crops/test_01993.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_008,target_002_main_original_C3_test_03751,train_00925_C3_presupposition_correction_allowed,train_00925,data/processed/stanford_cars/clean_crops/train_00925.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_009,target_003_main_original_C3_test_03865,train_01917_C3_presupposition_correction_allowed,train_01917,data/processed/stanford_cars/clean_crops/train_01917.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_010,target_009_main_original_C3_train_03125,train_05942_C3_presupposition_correction_allowed,train_05942,data/processed/stanford_cars/clean_crops/train_05942.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_011,target_007_main_original_C3_train_00272,train_07139_C3_presupposition_correction_allowed,train_07139,data/processed/stanford_cars/clean_crops/train_07139.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_012,target_000_main_original_C3_test_00209,train_07828_C3_presupposition_correction_allowed,train_07828,data/processed/stanford_cars/clean_crops/train_07828.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_013,target_022_main_original_C3_vcor_train_white_2491c92cf7,vcor_test_white_05beec100f_C3_presupposition_correction_allowed,vcor_test_white_05beec100f,data_external/vcor_selected/candidate_pool/white/vcor_test_white_05beec100f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_014,target_019_main_original_C3_vcor_train_white_07e38253c0,vcor_test_white_31bb316aee_C3_presupposition_correction_allowed,vcor_test_white_31bb316aee,data_external/vcor_selected/candidate_pool/white/vcor_test_white_31bb316aee.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
