sample_id,image_id,file_name,image_path,prompt_level,prompt_text,model_name,raw_output,label,language_consistent,vision_consistent,ambiguous,notes,status,error
test_00601_S0,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,0,What is the primary body color of the main car? Ignore the background.,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S1,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,1,The main car may be red. What is its primary body color? Ignore the background.,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S2,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,2,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S3,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",Qwen2-VL-7B-Instruct,The main car in the image actually has a dark purple or maroon body color. The red tint is likely due to the lighting and the angle of the photograph.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S4,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,4,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",Qwen2-VL-7B-Instruct,The main car body is dark red.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S5,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,5,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",Qwen2-VL-7B-Instruct,The main car in the picture has a dark purple body color.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S6,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,6,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,Qwen2-VL-7B-Instruct,The main car's body color is purple.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_00601_S7,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,7,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",Qwen2-VL-7B-Instruct,"The main car body is a shade of red that appears to be a deep, rich, and possibly metallic red.",,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354",ok,
test_01069_S0,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,0,What is the primary body color of the main car? Ignore the background.,Qwen2-VL-7B-Instruct,The primary body color of the main car is red.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('red', 7915.702733710408), ('blue', 94.44281511753798)]; dominant_share=0.143",ok,
test_01069_S1,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,1,The main car may be blue. What is its primary body color? Ignore the background.,Qwen2-VL-7B-Instruct,The primary body color of the main car in the picture is red.,,,,,"input_variant=main_car_crop; ignore_background=1; body_core=chromatic; top_scores=[('red', 7915.702733710408), ('blue', 94.44281511753798)]; dominant_share=0.143",ok,
