image_id,true_color,exclusion_reason,original_path,cropped_path
test_00392,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/00392.jpg,data/processed/stanford_cars/clean_crops/test_00392.jpg
test_00601,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_test/00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg
test_01104,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/01104.jpg,data/processed/stanford_cars/clean_crops/test_01104.jpg
test_01195,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/01195.jpg,data/processed/stanford_cars/clean_crops/test_01195.jpg
test_01497,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/01497.jpg,data/processed/stanford_cars/clean_crops/test_01497.jpg
test_01536,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/01536.jpg,data/processed/stanford_cars/clean_crops/test_01536.jpg
test_02874,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_test/02874.jpg,data/processed/stanford_cars/clean_crops/test_02874.jpg
test_04145,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_test/04145.jpg,data/processed/stanford_cars/clean_crops/test_04145.jpg
test_06162,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_test/06162.jpg,data/processed/stanford_cars/clean_crops/test_06162.jpg
test_06418,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_test/06418.jpg,data/processed/stanford_cars/clean_crops/test_06418.jpg
test_06909,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_test/06909.jpg,data/processed/stanford_cars/clean_crops/test_06909.jpg
train_00483,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_train/00483.jpg,data/processed/stanford_cars/clean_crops/train_00483.jpg
train_01358,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_train/01358.jpg,data/processed/stanford_cars/clean_crops/train_01358.jpg
train_01446,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_train/01446.jpg,data/processed/stanford_cars/clean_crops/train_01446.jpg
train_02901,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_train/02901.jpg,data/processed/stanford_cars/clean_crops/train_02901.jpg
train_03515,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_train/03515.jpg,data/processed/stanford_cars/clean_crops/train_03515.jpg
train_05584,silver,ambiguous_true_color_excluded:silver,data/raw/stanford_cars/cars_train/05584.jpg,data/processed/stanford_cars/clean_crops/train_05584.jpg
train_06345,gray,ambiguous_true_color_excluded:gray,data/raw/stanford_cars/cars_train/06345.jpg,data/processed/stanford_cars/clean_crops/train_06345.jpg
train_06380,other,ambiguous_true_color_excluded:other,data/raw/stanford_cars/cars_train/06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg
