source_dataset,split,assigned_true_color,source_path,file_name,image_id
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/02e37c0e56.jpg,02e37c0e56.jpg,vcor_test_beige_02e37c0e56
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/05aeb6ddec.jpg,05aeb6ddec.jpg,vcor_test_beige_05aeb6ddec
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/0b01008bee.jpg,0b01008bee.jpg,vcor_test_beige_0b01008bee
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/0c3bb456ee.jpg,0c3bb456ee.jpg,vcor_test_beige_0c3bb456ee
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/0e491569c8.jpg,0e491569c8.jpg,vcor_test_beige_0e491569c8
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/148b514638.jpg,148b514638.jpg,vcor_test_beige_148b514638
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/1a1296c730.jpg,1a1296c730.jpg,vcor_test_beige_1a1296c730
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/1aaaa2efd9.jpg,1aaaa2efd9.jpg,vcor_test_beige_1aaaa2efd9
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/23273d7910.jpg,23273d7910.jpg,vcor_test_beige_23273d7910
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/25b69b6cbb.jpg,25b69b6cbb.jpg,vcor_test_beige_25b69b6cbb
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/26225d6391.jpg,26225d6391.jpg,vcor_test_beige_26225d6391
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/29f250e3f5.jpg,29f250e3f5.jpg,vcor_test_beige_29f250e3f5
VCoR,test,beige,data_external/vcor_raw/vcor_extracted/test/beige/2b6126321c.jpg,2b6126321c.jpg,vcor_test_beige_2b6126321c
