sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,experiment_type,prompt_level,prompt_code,conflict_strength,prompt_text,expected_answer,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes,raw_output,status,error,auto_label_confidence
2592_S0,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a white mug with a skull and crossbones design, along with the words ""PIRATE OF THE WELLS"" and ""EAT THE SEA."" Next to the mug is a knife with a black handle. There is no dog in the image.",ok,,high
2592_S1,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The image shows a mug with a skull and crossbones design, the words ""Pirate of Wells,"" and ""Eats the Sea,"" and a knife lying next to it.",ok,,high
2592_S2,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
2592_S3,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
12280_S0,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image depicts a person standing in a large, open area that appears to be an airport or train station. The person is dressed in dark clothing and is pulling a suitcase. The area is well-lit, with tiled flooring and several signs indicating directions and information. There are also escalators and pillars visible in the background. There is no dog in the image.",ok,,high
12280_S1,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The person in the image is carrying a suitcase and appears to be walking through a terminal or airport. The image does not show any animals, including dogs.",ok,,high
12280_S2,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
12280_S3,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
13201_S0,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a person performing a skateboard trick on a ramp. The individual is wearing a black shirt, black pants, and a brown hat. They have long dreadlocks and are in mid-air, with one hand reaching out and the other hand on the skateboard. The background includes a grassy area, a fence, and some trees. There is no dog in the image.",ok,,high
13201_S1,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image. The person in the image is performing a skateboarding trick on a ramp.,ok,,high
