condition_name,left_model,right_model,estimate_left_minus_right,ci_low,ci_high
C0_neutral,qwen2vl7b,llava15_7b,0.0,0.0,0.0
C0_neutral,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C0_neutral,llava15_7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,qwen2vl7b,llava15_7b,-0.0033333333333333335,-0.01,0.0
C1_weak_suggestion,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C1_weak_suggestion,llava15_7b,internvl2_8b,0.0033333333333333335,0.0,0.01
C2_false_assertion_open,qwen2vl7b,llava15_7b,-0.01,-0.023333333333333334,0.0
C2_false_assertion_open,qwen2vl7b,internvl2_8b,0.0,0.0,0.0
C2_false_assertion_open,llava15_7b,internvl2_8b,0.01,0.0,0.023333333333333334
C3_presupposition_correction_allowed,qwen2vl7b,llava15_7b,-0.08666666666666667,-0.12008333333333333,-0.056583333333333784
C3_presupposition_correction_allowed,qwen2vl7b,internvl2_8b,0.0033333333333333335,0.0,0.01
C3_presupposition_correction_allowed,llava15_7b,internvl2_8b,0.09,0.06,0.12333333333333334
C4_stronger_open_conflict,qwen2vl7b,llava15_7b,-0.03,-0.050083333333333334,-0.01
C4_stronger_open_conflict,qwen2vl7b,internvl2_8b,0.0033333333333333335,0.0,0.01
C4_stronger_open_conflict,llava15_7b,internvl2_8b,0.03333333333333333,0.013333333333333334,0.05333333333333334
