sample_id,image_path,model,condition,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,audit_group,parsed_label,match_strategy,audit_visual_clarity,audit_specular_reflection,audit_background_color_bias,audit_multi_car_interference,audit_occlusion,audit_notes
test_03234_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_03234.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,White,StanfordCars,True,conflict_aligned_case,white,target_case,,,,,,
test_08002_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_08002.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,White,StanfordCars,True,conflict_aligned_case,white,target_case,,,,,,
train_08107_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_08107.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,White,StanfordCars,True,conflict_aligned_case,white,target_case,,,,,,
test_07534_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_07534.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Red,StanfordCars,True,conflict_aligned_case,red,target_case,,,,,,
train_00771_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_00771.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Red,StanfordCars,True,conflict_aligned_case,red,target_case,,,,,,
vcor_test_blue_19bb38978c_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_19bb38978c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Red,VCoR,True,conflict_aligned_case,red,target_case,,,,,,
vcor_test_blue_fc0797898c_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_fc0797898c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Red,VCoR,True,conflict_aligned_case,red,target_case,,,,,,
test_00209_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_00209.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
test_03751_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_03751.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
test_03865_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_03865.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
test_06383_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_06383.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
