case_bucket,sample_id,image_id,condition_name,model_key,true_color,conflict_color,source_dataset,parsed_label,raw_output,outcome_type,notes
aux_in_answer_space,test_00209_A1_forced_choice_red_family,test_00209,A1_forced_choice_red_family,qwen2vl7b,white,black,StanfordCars,black,black,conflict_aligned,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white
aux_in_answer_space,test_00667_A1_forced_choice_red_family,test_00667,A1_forced_choice_red_family,qwen2vl7b,green,yellow,StanfordCars,yellow,light yellow,conflict_aligned,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green
aux_in_answer_space,test_01593_A1_forced_choice_red_family,test_01593,A1_forced_choice_red_family,qwen2vl7b,red,blue,StanfordCars,blue,dark blue,conflict_aligned,codex_single_review_contact_sheet_confirmed: reviewed=red
aux_in_answer_space,test_01993_A1_forced_choice_red_family,test_01993,A1_forced_choice_red_family,qwen2vl7b,white,black,StanfordCars,black,black,conflict_aligned,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white
aux_in_answer_space,test_03234_A1_forced_choice_red_family,test_03234,A1_forced_choice_red_family,qwen2vl7b,black,white,StanfordCars,white,white,conflict_aligned,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh
aux_in_answer_space,test_03550_A1_forced_choice_red_family,test_03550,A1_forced_choice_red_family,qwen2vl7b,black,white,StanfordCars,white,white,conflict_aligned,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit
aux_in_answer_space,test_03751_A1_forced_choice_red_family,test_03751,A1_forced_choice_red_family,qwen2vl7b,white,black,StanfordCars,black,black,conflict_aligned,codex_single_review_contact_sheet_confirmed: reviewed=white
aux_in_answer_space,test_03801_A1_forced_choice_red_family,test_03801,A1_forced_choice_red_family,qwen2vl7b,black,white,StanfordCars,white,white,conflict_aligned,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
aux_in_answer_space,test_03865_A1_forced_choice_red_family,test_03865,A1_forced_choice_red_family,qwen2vl7b,white,black,StanfordCars,black,black,conflict_aligned,codex_single_review_contact_sheet_confirmed: reviewed=white
aux_in_answer_space,test_03891_A1_forced_choice_red_family,test_03891,A1_forced_choice_red_family,qwen2vl7b,blue,red,StanfordCars,red,light red,conflict_aligned,codex_single_review_contact_sheet_confirmed: reviewed=blue
