model_key,condition_name,n,faithful_n,faithful_rate,faithful_rate_pct,faithful_ci_95,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_rate_pct,conflict_aligned_ci_95,other_wrong_n,other_wrong_rate,other_wrong_rate_pct,refusal_or_correction_n,refusal_or_correction_rate,refusal_or_correction_rate_pct,parse_error_n,parse_error_rate,parse_error_rate_pct
qwen2vl7b,C0_neutral,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C1_weak_suggestion,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C2_false_assertion_open,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C3_presupposition_correction_allowed,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C4_stronger_open_conflict,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C0_neutral,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C1_weak_suggestion,93,92,0.989247311827957,98.92%,"[94.15%, 99.97%]",1,0.010752688172043,1.08%,"[0.03%, 5.85%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C2_false_assertion_open,93,92,0.989247311827957,98.92%,"[94.15%, 99.97%]",1,0.010752688172043,1.08%,"[0.03%, 5.85%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C3_presupposition_correction_allowed,93,80,0.8602150537634409,86.02%,"[77.28%, 92.34%]",13,0.1397849462365591,13.98%,"[7.66%, 22.72%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C4_stronger_open_conflict,93,90,0.967741935483871,96.77%,"[90.86%, 99.33%]",3,0.032258064516129,3.23%,"[0.67%, 9.14%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C0_neutral,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C1_weak_suggestion,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C2_false_assertion_open,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C3_presupposition_correction_allowed,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C4_stronger_open_conflict,93,93,1.0,100.00%,"[96.11%, 100.00%]",0,0.0,0.00%,"[0.00%, 3.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
