sample_id,image_id,file_name,image_path,original_image_path,experiment_type,dataset_name,target_object,attribute_type,truth_source,true_color,acceptable_true_colors,conflict_color,condition_family,condition_name,condition_index,prompt_template_version,prompt_text,expected_output_space,expected_output_map,include_in_primary_main_analysis,source_dataset,notes,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error,prompt_level,normalized_output,allowed_answer_space,parsed_label,parse_success,parse_method,one_label_only,in_allowed_answer_space,correction_detected,refusal_detected,outcome_type,is_conflict_aligned,is_faithful,is_other_wrong,is_refusal_or_correction,is_parse_error,parse_notes
test_03234_C0_neutral,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,17.9266,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_03550_C0_neutral,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.2612,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_03602_C0_neutral,test_03602,test_03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.1385,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_03801_C0_neutral,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.1716,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_05126_C0_neutral,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.1907,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_05187_C0_neutral,test_05187,test_05187.jpg,data/processed/stanford_cars/clean_crops/test_05187.jpg,data/raw/stanford_cars/cars_test/05187.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.1153,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_05360_C0_neutral,test_05360,test_05360.jpg,data/processed/stanford_cars/clean_crops/test_05360.jpg,data/raw/stanford_cars/cars_test/05360.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.1585,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_05438_C0_neutral,test_05438,test_05438.jpg,data/processed/stanford_cars/clean_crops/test_05438.jpg,data/raw/stanford_cars/cars_test/05438.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,4.0238,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_06382_C0_neutral,test_06382,test_06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,codex_single_review_contact_sheet_confirmed: reviewed=black,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,3.7576,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
test_07040_C0_neutral,test_07040,test_07040.jpg,data/processed/stanford_cars/clean_crops/test_07040.jpg,data/raw/stanford_cars/cars_test/07040.jpg,balanced_car_color_conflict_mainline,balanced_car_color_eval_set,the main car,primary body color,reviewed,black,,white,primary,C0_neutral,0,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.","[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]","{""black"": ""black"", ""blue"": ""blue"", ""green"": ""green"", ""other"": ""other"", ""red"": ""red"", ""white"": ""white"", ""yellow"": ""yellow""}",yes,StanfordCars,prior_issue_flag | codex_second_review_correction: reviewed=green -> black; reason=other_wrong_audit,llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,float16,cuda:0+cpu_offload,auto,1,3.6452,Black,ok,,,black,"[""red"", ""blue"", ""green"", ""yellow"", ""black"", ""white"", ""other""]",black,1,exact_single_label,1,1,0,0,faithful,0,1,0,0,0,
