model_key,model,condition_name,factor_id,tone_strength,injection_position,false_text_form,answer_format,response_schema,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,parse_error_n,parse_error_rate
internvl2_8b,InternVL2-8B,C0_neutral,REF_C0_label_set,neutral,,none,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,REF_C3_original_label_set,presuppositional,,presupposition_correction_allowed,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,REF_C4_original_label_set,stronger_open_conflict,,repeated_false_report,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC1_free_neutral,free_neutral,neutral,none,none,free_color_word,one_color_word,300,0,0.0,0.0,0.01264297122454604,298,0.9933333333333333,0.9760224167496928,0.9981698516420882,1,0.0033333333333333335
internvl2_8b,InternVL2-8B,FC2_free_c3,free_c3_presupposition,presuppositional,question_body,presupposition,free_color_word,one_color_word,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC3_free_c4,free_c4_stronger_open,stronger_open_conflict,question_body,repeated_false_report,free_color_word,one_color_word,300,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0
internvl2_8b,InternVL2-8B,FC4_mc_neutral,multiple_choice_neutral,neutral,none,none,multiple_choice_label,one_label_from_multiple_choice,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC5_mc_c3,multiple_choice_c3_presupposition,presuppositional,question_body,presupposition,multiple_choice_label,one_label_from_multiple_choice,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC6_mc_c4,multiple_choice_c4_stronger_open,stronger_open_conflict,question_body,repeated_false_report,multiple_choice_label,one_label_from_multiple_choice,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC7_yesno_false_claim,yesno_false_claim,assertive,question_body,direct_false_claim,yes_no,yes_means_conflict_no_means_reject_false_claim,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
internvl2_8b,InternVL2-8B,FC8_yesno_report_correct,yesno_report_correct,stronger_open_conflict,question_body,repeated_false_report,yes_no,yes_means_conflict_no_means_reject_false_claim,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
llava15_7b,LLaVA-1.5-7B,C0_neutral,REF_C0_label_set,neutral,,none,label_set,one_label_from_primary_space,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0
