model_key,metric_name,estimate,ci_low,ci_high
qwen2vl7b,RPE(C0_neutral),0.0,0.0,0.0
qwen2vl7b,RPE(C1_weak_suggestion),0.0,0.0,0.0
qwen2vl7b,RPE(C2_false_assertion_open),0.0,0.0,0.0
qwen2vl7b,RPE(C3_presupposition_correction_allowed),0.0033333333333333335,0.0,0.01
qwen2vl7b,RPE(C4_stronger_open_conflict),0.0033333333333333335,0.0,0.01
qwen2vl7b,LDI,0.0022222222222222222,0.0,0.006666666666666667
llava15_7b,RPE(C0_neutral),0.0,0.0,0.0
llava15_7b,RPE(C1_weak_suggestion),0.0033333333333333335,0.0,0.01
llava15_7b,RPE(C2_false_assertion_open),0.01,0.0,0.023333333333333334
llava15_7b,RPE(C3_presupposition_correction_allowed),0.09,0.06,0.12333333333333334
llava15_7b,RPE(C4_stronger_open_conflict),0.03333333333333333,0.013333333333333334,0.05333333333333334
llava15_7b,LDI,0.042777777777777776,0.02666666666666667,0.061666666666666675
internvl2_8b,RPE(C0_neutral),0.0,0.0,0.0
internvl2_8b,RPE(C1_weak_suggestion),0.0,0.0,0.0
internvl2_8b,RPE(C2_false_assertion_open),0.0,0.0,0.0
internvl2_8b,RPE(C3_presupposition_correction_allowed),0.0,0.0,0.0
internvl2_8b,RPE(C4_stronger_open_conflict),0.0,0.0,0.0
internvl2_8b,LDI,0.0,0.0,0.0
