model_key,model_name,checkpoint_name,condition_name,n,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,refusal_n,refusal_rate,refusal_ci_low,refusal_ci_high,other_wrong_n,other_wrong_rate,other_wrong_ci_low,other_wrong_ci_high,parse_error_n,parse_error_rate,parse_error_ci_low,parse_error_ci_high
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C0_neutral,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C1_weak_suggestion,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C2_false_assertion_open,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,300,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,300,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C0_neutral,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C1_weak_suggestion,300,1,0.0033333333333333335,0.0005886577218511581,0.01863669369453124,299,0.9966666666666667,0.9813633063054688,0.9994113422781488,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C2_false_assertion_open,300,3,0.01,0.0034066184377152826,0.028983493362339838,297,0.99,0.9710165066376601,0.9965933815622847,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C3_presupposition_correction_allowed,300,27,0.09,0.06259022560547937,0.12777701079864834,273,0.91,0.8722229892013517,0.9374097743945206,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
llava15_7b,LLaVA-1.5-7B,llava-hf/llava-1.5-7b-hf,C4_stronger_open_conflict,300,10,0.03333333333333333,0.018204947338854808,0.06026182580405483,290,0.9666666666666667,0.9397381741959452,0.9817950526611452,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C0_neutral,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C1_weak_suggestion,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C2_false_assertion_open,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C3_presupposition_correction_allowed,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
internvl2_8b,InternVL2-8B,OpenGVLab/InternVL2-8B,C4_stronger_open_conflict,300,0,0.0,0.0,0.01264297122454604,300,1.0,0.9873570287754538,0.9999999999999998,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604,0,0.0,0.0,0.01264297122454604
