image_id,cropped_path,original_path,reviewed_true_color,acceptable_true_colors,include_in_formal_analysis,review_status,review_notes
test_05126,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,,,,,
train_06380,data/processed/stanford_cars/clean_crops/train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,,,,,
test_06382,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,,,,,
train_07828,data/processed/stanford_cars/clean_crops/train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,,,,,
test_03751,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,,,,,
test_03302,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,,,,,
train_01446,data/processed/stanford_cars/clean_crops/train_01446.jpg,data/raw/stanford_cars/cars_train/01446.jpg,,,,,
test_02874,data/processed/stanford_cars/clean_crops/test_02874.jpg,data/raw/stanford_cars/cars_test/02874.jpg,,,,,
train_01561,data/processed/stanford_cars/clean_crops/train_01561.jpg,data/raw/stanford_cars/cars_train/01561.jpg,,,,,
train_05311,data/processed/stanford_cars/clean_crops/train_05311.jpg,data/raw/stanford_cars/cars_train/05311.jpg,,,,,
test_06328,data/processed/stanford_cars/clean_crops/test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,,,,,
test_07373,data/processed/stanford_cars/clean_crops/test_07373.jpg,data/raw/stanford_cars/cars_test/07373.jpg,,,,,
test_07372,data/processed/stanford_cars/clean_crops/test_07372.jpg,data/raw/stanford_cars/cars_test/07372.jpg,,,,,
test_06383,data/processed/stanford_cars/clean_crops/test_06383.jpg,data/raw/stanford_cars/cars_test/06383.jpg,,,,,
train_02608,data/processed/stanford_cars/clean_crops/train_02608.jpg,data/raw/stanford_cars/cars_train/02608.jpg,,,,,
train_07332,data/processed/stanford_cars/clean_crops/train_07332.jpg,data/raw/stanford_cars/cars_train/07332.jpg,,,,,
train_03820,data/processed/stanford_cars/clean_crops/train_03820.jpg,data/raw/stanford_cars/cars_train/03820.jpg,,,,,
test_03234,data/processed/stanford_cars/clean_crops/test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,,,,,
test_04952,data/processed/stanford_cars/clean_crops/test_04952.jpg,data/raw/stanford_cars/cars_test/04952.jpg,,,,,
