model_key,model,condition_name,condition,true_color,false_prompt_pair,n,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,conflict_following_n,conflict_following_rate,other_wrong_n,refusal_n,parse_error_n
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C0,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,black,black->white,50,49,0.98,0.8950455641036218,0.9964607407283538,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,black,black->white,50,49,0.98,0.8950455641036218,0.9964607407283538,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C0_neutral,C0,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,black,black->white,50,49,0.98,0.8950455641036218,0.9964607407283538,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,white,white->black,50,47,0.94,0.8378290831116182,0.979385029651026,3,0.06,0.020614970348973943,0.16217091688838173,3,0.06,0,0,0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,black,black->white,50,47,0.94,0.8378290831116182,0.979385029651026,3,0.06,0.020614970348973943,0.16217091688838173,3,0.06,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,blue,blue->red,50,46,0.92,0.8116175308165716,0.9684504859114069,4,0.08,0.03154951408859295,0.18838246918342838,4,0.08,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,white,white->black,50,30,0.6,0.4618143774758935,0.7239161026974344,20,0.4,0.2760838973025654,0.5381856225241064,20,0.4,0,0,0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,black,black->white,50,48,0.96,0.8653990931249297,0.9889611156723802,2,0.04,0.011038884327619819,0.13460090687507023,2,0.04,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,white,white->black,50,42,0.84,0.7148578393696499,0.9166257932196658,8,0.16,0.08337420678033405,0.2851421606303499,8,0.16,0,0,0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C0_neutral,C0,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
