model_key,model,condition_name,condition,pair_family,n_pairs,faithful_to_conflict_aligned_n,answer_flip_n,paired_discordant_current_only,paired_discordant_c0_only,conflict_following_rate,answer_flip_rate
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,achromatic_black_white,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,green_yellow,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,red_blue,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C1_weak_suggestion,C1,yellow_red,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,achromatic_black_white,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,green_yellow,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,red_blue,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,yellow_red,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,achromatic_black_white,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,green_yellow,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,red_blue,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,yellow_red,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,achromatic_black_white,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,green_yellow,50,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,red_blue,100,0,0,0,0,0.0,0.0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,yellow_red,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,achromatic_black_white,100,1,1,1,0,0.01,0.01
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,green_yellow,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,red_blue,100,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C1_weak_suggestion,C1,yellow_red,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,achromatic_black_white,100,3,3,3,0,0.03,0.03
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,green_yellow,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,red_blue,100,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C2_false_assertion_open,C2,yellow_red,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,achromatic_black_white,100,23,23,23,0,0.23,0.23
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,green_yellow,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,red_blue,100,4,4,4,0,0.04,0.04
llava15_7b,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3,yellow_red,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,achromatic_black_white,100,10,10,10,0,0.1,0.1
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,green_yellow,50,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,red_blue,100,0,0,0,0,0.0,0.0
llava15_7b,LLaVA-1.5-7B,C4_stronger_open_conflict,C4,yellow_red,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,achromatic_black_white,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,green_yellow,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,red_blue,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C1_weak_suggestion,C1,yellow_red,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,achromatic_black_white,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,green_yellow,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,red_blue,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C2_false_assertion_open,C2,yellow_red,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,achromatic_black_white,100,1,1,1,0,0.01,0.01
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,green_yellow,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,red_blue,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C3_presupposition_correction_allowed,C3,yellow_red,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,achromatic_black_white,100,1,1,1,0,0.01,0.01
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,green_yellow,50,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,red_blue,100,0,0,0,0,0.0,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C4_stronger_open_conflict,C4,yellow_red,50,0,0,0,0,0.0,0.0
