image_id,file_name,image_path,width,height,contains_dog,num_annotations,prompt_level,prompt_text,model_name,model_output,label,notes
2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,,,,,,
12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,,,,,,
13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,,,,,,
15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,,,,,,
15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,,,,,,
48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,,,,,,
51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,,,,,,
56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,,,,,,
61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,,,,,,
81594,000000081594.jpg,data/selected_images/no_dog_sample_50/000000081594.jpg,478,640,0,3,,,,,,
90284,000000090284.jpg,data/selected_images/no_dog_sample_50/000000090284.jpg,640,639,0,2,,,,,,
93353,000000093353.jpg,data/selected_images/no_dog_sample_50/000000093353.jpg,640,480,0,5,,,,,,
117908,000000117908.jpg,data/selected_images/no_dog_sample_50/000000117908.jpg,500,320,0,9,,,,,,
127530,000000127530.jpg,data/selected_images/no_dog_sample_50/000000127530.jpg,640,440,0,3,,,,,,
129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,,,,,,
129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,,,,,,
131379,000000131379.jpg,data/selected_images/no_dog_sample_50/000000131379.jpg,640,480,0,1,,,,,,
135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,,,,,,
144932,000000144932.jpg,data/selected_images/no_dog_sample_50/000000144932.jpg,640,425,0,3,,,,,,
161875,000000161875.jpg,data/selected_images/no_dog_sample_50/000000161875.jpg,640,422,0,2,,,,,,
163257,000000163257.jpg,data/selected_images/no_dog_sample_50/000000163257.jpg,425,640,0,3,,,,,,
163258,000000163258.jpg,data/selected_images/no_dog_sample_50/000000163258.jpg,640,480,0,2,,,,,,
196754,000000196754.jpg,data/selected_images/no_dog_sample_50/000000196754.jpg,375,500,0,2,,,,,,
243148,000000243148.jpg,data/selected_images/no_dog_sample_50/000000243148.jpg,640,360,0,4,,,,,,
244379,000000244379.jpg,data/selected_images/no_dog_sample_50/000000244379.jpg,640,464,0,3,,,,,,
244750,000000244750.jpg,data/selected_images/no_dog_sample_50/000000244750.jpg,393,500,0,9,,,,,,
261706,000000261706.jpg,data/selected_images/no_dog_sample_50/000000261706.jpg,480,640,0,3,,,,,,
293858,000000293858.jpg,data/selected_images/no_dog_sample_50/000000293858.jpg,500,451,0,11,,,,,,
320232,000000320232.jpg,data/selected_images/no_dog_sample_50/000000320232.jpg,375,500,0,10,,,,,,
320425,000000320425.jpg,data/selected_images/no_dog_sample_50/000000320425.jpg,640,480,0,10,,,,,,
328683,000000328683.jpg,data/selected_images/no_dog_sample_50/000000328683.jpg,480,640,0,2,,,,,,
345385,000000345385.jpg,data/selected_images/no_dog_sample_50/000000345385.jpg,640,480,0,3,,,,,,
346638,000000346638.jpg,data/selected_images/no_dog_sample_50/000000346638.jpg,640,480,0,4,,,,,,
352618,000000352618.jpg,data/selected_images/no_dog_sample_50/000000352618.jpg,640,426,0,4,,,,,,
373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,,,,,,
379332,000000379332.jpg,data/selected_images/no_dog_sample_50/000000379332.jpg,500,334,0,5,,,,,,
396526,000000396526.jpg,data/selected_images/no_dog_sample_50/000000396526.jpg,500,338,0,11,,,,,,
408830,000000408830.jpg,data/selected_images/no_dog_sample_50/000000408830.jpg,640,427,0,4,,,,,,
410487,000000410487.jpg,data/selected_images/no_dog_sample_50/000000410487.jpg,427,640,0,1,,,,,,
419098,000000419098.jpg,data/selected_images/no_dog_sample_50/000000419098.jpg,640,554,0,3,,,,,,
431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,,,,,,
433980,000000433980.jpg,data/selected_images/no_dog_sample_50/000000433980.jpg,375,500,0,2,,,,,,
434548,000000434548.jpg,data/selected_images/no_dog_sample_50/000000434548.jpg,640,480,0,3,,,,,,
445722,000000445722.jpg,data/selected_images/no_dog_sample_50/000000445722.jpg,318,500,0,6,,,,,,
447522,000000447522.jpg,data/selected_images/no_dog_sample_50/000000447522.jpg,640,480,0,11,,,,,,
468233,000000468233.jpg,data/selected_images/no_dog_sample_50/000000468233.jpg,600,399,0,1,,,,,,
470121,000000470121.jpg,data/selected_images/no_dog_sample_50/000000470121.jpg,640,480,0,13,,,,,,
506178,000000506178.jpg,data/selected_images/no_dog_sample_50/000000506178.jpg,375,500,0,5,,,,,,
519522,000000519522.jpg,data/selected_images/no_dog_sample_50/000000519522.jpg,427,640,0,3,,,,,,
559547,000000559547.jpg,data/selected_images/no_dog_sample_50/000000559547.jpg,640,491,0,6,,,,,,
