image_id,source_dataset,split,source_path,assigned_true_color,rejection_reason,reviewer_note
vcor_test_red_044ed301f3,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/044ed301f3.jpg,red,not_selected_after_strict_auto_screen,auto_rank=44; quality_score=4.0670; passes_auto_screen
vcor_test_red_0b9d8063c5,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0b9d8063c5.jpg,red,not_selected_after_strict_auto_screen,auto_rank=47; quality_score=3.9900; secondary_car_interference
vcor_test_red_0ba3143a2c,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0ba3143a2c.jpg,red,not_selected_after_strict_auto_screen,auto_rank=57; quality_score=3.8115; secondary_car_interference
vcor_test_red_0c098b9636,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0c098b9636.jpg,red,not_selected_after_strict_auto_screen,auto_rank=75; quality_score=1.5775; weak_color_match
vcor_test_red_0c8ac10318,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0c8ac10318.jpg,red,not_selected_after_strict_auto_screen,auto_rank=26; quality_score=4.3992; passes_auto_screen
vcor_test_red_0d357044c5,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0d357044c5.jpg,red,not_selected_after_strict_auto_screen,auto_rank=79; quality_score=0.8736; car_too_small|highlight_overexposed
vcor_test_red_0df8f813a2,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/0df8f813a2.jpg,red,not_selected_after_strict_auto_screen,auto_rank=24; quality_score=4.4118; highlight_overexposed
vcor_test_red_10fa2af7b6,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/10fa2af7b6.jpg,red,not_selected_after_strict_auto_screen,auto_rank=16; quality_score=4.5343; passes_auto_screen
vcor_test_red_126652c274,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/126652c274.jpg,red,not_selected_after_strict_auto_screen,auto_rank=27; quality_score=4.3932; passes_auto_screen
vcor_test_red_135358467b,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/135358467b.jpg,red,not_selected_after_strict_auto_screen,auto_rank=65; quality_score=3.6816; secondary_car_interference
vcor_test_red_1446a4b271,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/1446a4b271.jpg,red,not_selected_after_strict_auto_screen,auto_rank=53; quality_score=3.8965; secondary_car_interference
vcor_test_red_1637b33e56,VCoR,test,data_external/vcor_raw/vcor_extracted/test/red/1637b33e56.jpg,red,not_selected_after_strict_auto_screen,auto_rank=35; quality_score=4.2794; passes_auto_screen
