image_id,file_name,source_dataset,source_split,source_path,original_path,cropped_path,true_color,conflict_color,truth_source,review_status,review_notes,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,selection_version,selection_bucket,selection_rank,exclusion_reason,notes
test_03234,test_03234.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,black,white,reviewed,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,18,,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh
test_03550,test_03550.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,64,,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit
test_03602,test_03602.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,31,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_03801,test_03801.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,36,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
test_05126,test_05126.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,1,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
test_05187,test_05187.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05187.jpg,data/raw/stanford_cars/cars_test/05187.jpg,data/processed/stanford_cars/clean_crops/test_05187.jpg,black,white,reviewed,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,114,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black
test_05360,test_05360.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05360.jpg,data/raw/stanford_cars/cars_test/05360.jpg,data/processed/stanford_cars/clean_crops/test_05360.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,70,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_05438,test_05438.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05438.jpg,data/raw/stanford_cars/cars_test/05438.jpg,data/processed/stanford_cars/clean_crops/test_05438.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,94,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_06382,test_06382.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,3,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_07040,test_07040.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/07040.jpg,data/raw/stanford_cars/cars_test/07040.jpg,data/processed/stanford_cars/clean_crops/test_07040.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=green -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,63,,prior_issue_flag | codex_second_review_correction: reviewed=green -> black; reason=other_wrong_audit
test_07372,test_07372.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/07372.jpg,data/raw/stanford_cars/cars_test/07372.jpg,data/processed/stanford_cars/clean_crops/test_07372.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,13,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_07373,test_07373.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/07373.jpg,data/raw/stanford_cars/cars_test/07373.jpg,data/processed/stanford_cars/clean_crops/test_07373.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,12,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_08002,test_08002.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/08002.jpg,data/raw/stanford_cars/cars_test/08002.jpg,data/processed/stanford_cars/clean_crops/test_08002.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,83,,codex_single_review_contact_sheet_confirmed: reviewed=black
train_00211,train_00211.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/00211.jpg,data/raw/stanford_cars/cars_train/00211.jpg,data/processed/stanford_cars/clean_crops/train_00211.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,59,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
train_01561,train_01561.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/01561.jpg,data/raw/stanford_cars/cars_train/01561.jpg,data/processed/stanford_cars/clean_crops/train_01561.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,9,,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit
train_01610,train_01610.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/01610.jpg,data/raw/stanford_cars/cars_train/01610.jpg,data/processed/stanford_cars/clean_crops/train_01610.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,45,,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit
train_02205,train_02205.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/02205.jpg,data/raw/stanford_cars/cars_train/02205.jpg,data/processed/stanford_cars/clean_crops/train_02205.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,72,,codex_single_review_contact_sheet_confirmed: reviewed=black
train_03134,train_03134.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/03134.jpg,data/raw/stanford_cars/cars_train/03134.jpg,data/processed/stanford_cars/clean_crops/train_03134.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,111,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
train_03820,train_03820.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/03820.jpg,data/raw/stanford_cars/cars_train/03820.jpg,data/processed/stanford_cars/clean_crops/train_03820.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,17,,codex_single_review_contact_sheet_confirmed: reviewed=black
train_05311,train_05311.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/05311.jpg,data/raw/stanford_cars/cars_train/05311.jpg,data/processed/stanford_cars/clean_crops/train_05311.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,10,,codex_single_review_contact_sheet_confirmed: reviewed=black
