image_id,file_name,image_path,width,height,contains_dog,num_annotations,prompt_level,prompt_text,model_name,model_output,label,notes
12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,,,,,,
48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,,,,,,
51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,,,,,,
56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,,,,,,
61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,,,,,,
129054,000000129054.jpg,data/selected_images/no_dog_sample_50/000000129054.jpg,500,375,0,14,,,,,,
129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,,,,,,
135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,,,,,,
373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,,,,,,
431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,,,,,,
