sample_id,image_id,file_name,image_path,original_image_path,width,height,experiment_type,dataset_name,target_object,attribute_type,prompt_level,prompt_code,prompt_text,true_color,conflict_color,color_confidence,needs_manual_review,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes,raw_output,status,error,auto_label_confidence,auto_label_reason,compatible_true_colors,detected_positive_colors,detected_negated_colors
test_00601_S0,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,blue,red,0.866,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,needs_manual_review,,,,"No stable auto-label rule was matched, so manual review is needed.",The primary body color of the main car is purple.,ok,,low,no_stable_rule_hit,blue,,
test_00601_S1,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be red. What is its primary body color? Ignore the background.,blue,red,0.866,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,needs_manual_review,,,,"No stable auto-label rule was matched, so manual review is needed.",The primary body color of the main car is purple.,ok,,low,no_stable_rule_hit,blue,,
test_00601_S2,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,blue,red,0.866,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is purple.,needs_manual_review,,,,"No stable auto-label rule was matched, so manual review is needed.",The primary body color of the main car is purple.,ok,,low,no_stable_rule_hit,blue,,
test_00601_S3,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",blue,red,0.866,0,Qwen2-VL-7B-Instruct,The main car in the image actually has a dark purple or maroon body color. The red tint is likely due to the lighting and the angle of the photograph.,hallucination,1,0,0,The output positively asserted conflict_color=red.,The main car in the image actually has a dark purple or maroon body color. The red tint is likely due to the lighting and the angle of the photograph.,ok,,medium,positive_conflict_color,blue,red,
test_00601_S5,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",blue,red,0.866,0,Qwen2-VL-7B-Instruct,The main car in the picture has a dark purple body color.,needs_manual_review,,,,"No stable auto-label rule was matched, so manual review is needed.",The main car in the picture has a dark purple body color.,ok,,low,no_stable_rule_hit,blue,,
test_00601_S6,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,blue,red,0.866,0,Qwen2-VL-7B-Instruct,The main car's body color is purple.,needs_manual_review,,,,"No stable auto-label rule was matched, so manual review is needed.",The main car's body color is purple.,ok,,low,no_stable_rule_hit,blue,,
test_00601_S7,test_00601,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",blue,red,0.866,0,Qwen2-VL-7B-Instruct,"The main car body is a shade of red that appears to be a deep, rich, and possibly metallic red.",hallucination,1,0,0,The output positively asserted conflict_color=red.,"The main car body is a shade of red that appears to be a deep, rich, and possibly metallic red.",ok,,medium,positive_conflict_color,blue,red,
test_03801_S0,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
test_03801_S1,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be red. What is its primary body color? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
test_03801_S2,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
