image_id,split,class_id,class_name,file_name,source_image_path,original_path,cropped_path,width,height,original_width,original_height,bbox,bbox_xywh,bbox_area_ratio,bbox_width,bbox_height,aspect_ratio,crop_box,crop_width,crop_height,crop_fill_ratio,target_short_edge,cropped_width,cropped_height,true_color,estimated_color,preliminary_color_guess,color_confidence,needs_manual_review,foreground_dominant_share,background_complexity,quality_score,keep,drop,keep_or_drop,keep_reason,passed_clean_filters,filter_fail_reasons,crop_source,mask_source,focus_pixel_count,score_summary,notes,manual_exclusion_reason,duplicate_group_id,duplicate_canonical_image_id
test_00015,test,83,Dodge Caliber Wagon 2012,test_00015.jpg,data/raw/stanford_cars/cars_test/00015.jpg,data/raw/stanford_cars/cars_test/00015.jpg,,640,480,640,480,"[50, 103, 569, 403]","[50, 103, 519, 300]",0.5068,519,300,1.73,"[0, 49, 640, 457]",640,408,0.5963,256,,,gray,gray,gray,0.78,0,0.1243,0.6178,0.6384,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.712; mean_value=0.594; dominant_share=0.115,body_core=neutral_mid; total_neutral=0.712; mean_value=0.594; dominant_share=0.115,,,
test_00028,test,195,Volvo XC90 SUV 2007,test_00028.jpg,data/raw/stanford_cars/cars_test/00028.jpg,data/raw/stanford_cars/cars_test/00028.jpg,,640,480,640,480,"[15, 93, 608, 408]","[15, 93, 593, 315]",0.6081,593,315,1.8825,"[0, 36, 640, 465]",640,429,0.6803,256,,,blue,blue,blue,0.758,0,0.1004,0.6356,0.6789,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 1830.905164130032), ('red', 1169.7901918441057)]; dominant_share=0.143","body_core=chromatic; top_scores=[('blue', 1830.905164130032), ('red', 1169.7901918441057)]; dominant_share=0.143",,,
test_00030,test,5,Acura TSX Sedan 2012,test_00030.jpg,data/raw/stanford_cars/cars_test/00030.jpg,data/raw/stanford_cars/cars_test/00030.jpg,,627,387,627,387,"[56, 80, 594, 365]","[56, 80, 538, 285]",0.6319,538,285,1.8877,"[0, 29, 627, 387]",627,358,0.6831,256,,,white,white,white,0.808,0,0.1087,0.4639,0.7115,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.452; dominant_share=0.145,body_core=neutral_bright; bright_neutral=0.452; dominant_share=0.145,,,
test_00031,test,164,Mercedes-Benz E-Class Sedan 2012,test_00031.jpg,data/raw/stanford_cars/cars_test/00031.jpg,data/raw/stanford_cars/cars_test/00031.jpg,,990,657,990,657,"[33, 107, 953, 610]","[33, 107, 920, 503]",0.7115,920,503,1.829,"[0, 16, 990, 657]",990,641,0.7292,256,,,white,white,white,0.842,0,0.1599,0.6216,0.7335,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.598; dominant_share=0.183,body_core=neutral_bright; bright_neutral=0.598; dominant_share=0.183,,,
test_00033,test,188,Toyota Corolla Sedan 2012,test_00033.jpg,data/raw/stanford_cars/cars_test/00033.jpg,data/raw/stanford_cars/cars_test/00033.jpg,,623,389,623,389,"[39, 46, 575, 349]","[39, 46, 536, 303]",0.6701,536,303,1.769,"[0, 0, 623, 389]",623,389,0.6701,256,,,red,red,red,0.934,0,0.0873,0.5187,0.7352,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 10041.767949782312), ('orange', 274.43331625312567)]; dominant_share=0.085","body_core=chromatic; top_scores=[('red', 10041.767949782312), ('orange', 274.43331625312567)]; dominant_share=0.085",,,
test_00041,test,180,Spyker C8 Coupe 2009,test_00041.jpg,data/raw/stanford_cars/cars_test/00041.jpg,data/raw/stanford_cars/cars_test/00041.jpg,,800,533,800,533,"[116, 136, 679, 449]","[116, 136, 563, 313]",0.4133,563,313,1.7987,"[15, 80, 780, 505]",765,425,0.542,256,,,other,orange,other,0.899,0,0.1039,0.5661,0.6473,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('orange', 6232.481559760869), ('red', 673.6918054372072)]; dominant_share=0.094","body_core=chromatic; top_scores=[('orange', 6232.481559760869), ('red', 673.6918054372072)]; dominant_share=0.094",,,
test_00045,test,191,Volkswagen Golf Hatchback 1991,test_00045.jpg,data/raw/stanford_cars/cars_test/00045.jpg,data/raw/stanford_cars/cars_test/00045.jpg,data/processed/stanford_cars/clean_crops/test_00045.jpg,720,405,720,405,"[100, 52, 719, 405]","[100, 52, 619, 353]",0.7493,619,353,1.7535,"[0, 0, 720, 405]",720,405,0.7493,256,455,256,red,red,red,0.89,0,0.0595,0.5723,0.763,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 2916.3536230772734), ('blue', 447.17760346084833)]; dominant_share=0.053","body_core=chromatic; top_scores=[('red', 2916.3536230772734), ('blue', 447.17760346084833)]; dominant_share=0.053",,,
test_00050,test,168,Nissan Leaf Hatchback 2012,test_00050.jpg,data/raw/stanford_cars/cars_test/00050.jpg,data/raw/stanford_cars/cars_test/00050.jpg,,1024,684,1024,684,"[63, 131, 950, 610]","[63, 131, 887, 479]",0.6066,887,479,1.8518,"[0, 45, 1024, 684]",1024,639,0.6493,256,,,blue,blue,blue,0.945,0,0.0985,0.6311,0.7145,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 8529.380079858005), ('yellow', 49.819264240562916)]; dominant_share=0.105","body_core=chromatic; top_scores=[('blue', 8529.380079858005), ('yellow', 49.819264240562916)]; dominant_share=0.105",,,
test_00072,test,137,Hyundai Genesis Sedan 2012,test_00072.jpg,data/raw/stanford_cars/cars_test/00072.jpg,data/raw/stanford_cars/cars_test/00072.jpg,,1280,782,1280,782,"[239, 210, 1155, 689]","[239, 210, 916, 479]",0.4383,916,479,1.9123,"[74, 124, 1280, 775]",1206,651,0.5589,256,,,blue,blue,blue,0.933,0,0.0576,0.5882,0.6616,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 5650.358175501227), ('yellow', 112.01519860327244)]; dominant_share=0.058","body_core=chromatic; top_scores=[('blue', 5650.358175501227), ('yellow', 112.01519860327244)]; dominant_share=0.058",,,
test_00074,test,130,Hyundai Veloster Hatchback 2012,test_00074.jpg,data/raw/stanford_cars/cars_test/00074.jpg,data/raw/stanford_cars/cars_test/00074.jpg,,620,433,620,433,"[19, 50, 599, 367]","[19, 50, 580, 317]",0.6849,580,317,1.8297,"[0, 0, 620, 424]",620,424,0.6994,256,,,other,orange,other,0.882,0,0.136,0.4362,0.7459,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('orange', 9838.689829155803), ('yellow', 1933.927037909627)]; dominant_share=0.221","body_core=chromatic; top_scores=[('orange', 9838.689829155803), ('yellow', 1933.927037909627)]; dominant_share=0.221",,,
