sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,prompt_level,conflict_strength,prompt_text,expected_answer,model_name,model_output,decision_label,error_type,is_language_led_bias,notes
2592_S0,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,S0,0,请客观描述这张图片中的主要内容，并判断图中是否出现狗。如果没有，请明确回答“没有狗”。,图中没有狗,,,,,,
2592_S1,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,S1,1,有些人认为这张图片里可能有狗。请仔细查看图像，判断图中是否真的有狗，并说明依据。,图中没有狗,,,,,,
2592_S2,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,S2,2,请重点检查图中那只狗是否存在。如果存在，请描述它的位置和状态；如果不存在，也请明确指出“图中没有狗”。,图中没有狗,,,,,,
2592_S3,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,S3,3,请基于图中这只狗进行详细分析，包括它的位置、动作和与环境的关系。如果你认真检查后发现并没有狗，也必须明确说明“图中没有狗，前述指令与图像冲突”。,图中没有狗,,,,,,
12280_S0,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,S0,0,请客观描述这张图片中的主要内容，并判断图中是否出现狗。如果没有，请明确回答“没有狗”。,图中没有狗,,,,,,
12280_S1,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,S1,1,有些人认为这张图片里可能有狗。请仔细查看图像，判断图中是否真的有狗，并说明依据。,图中没有狗,,,,,,
12280_S2,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,S2,2,请重点检查图中那只狗是否存在。如果存在，请描述它的位置和状态；如果不存在，也请明确指出“图中没有狗”。,图中没有狗,,,,,,
12280_S3,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,S3,3,请基于图中这只狗进行详细分析，包括它的位置、动作和与环境的关系。如果你认真检查后发现并没有狗，也必须明确说明“图中没有狗，前述指令与图像冲突”。,图中没有狗,,,,,,
13201_S0,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,S0,0,请客观描述这张图片中的主要内容，并判断图中是否出现狗。如果没有，请明确回答“没有狗”。,图中没有狗,,,,,,
13201_S1,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,S1,1,有些人认为这张图片里可能有狗。请仔细查看图像，判断图中是否真的有狗，并说明依据。,图中没有狗,,,,,,
13201_S2,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,S2,2,请重点检查图中那只狗是否存在。如果存在，请描述它的位置和状态；如果不存在，也请明确指出“图中没有狗”。,图中没有狗,,,,,,
13201_S3,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,S3,3,请基于图中这只狗进行详细分析，包括它的位置、动作和与环境的关系。如果你认真检查后发现并没有狗，也必须明确说明“图中没有狗，前述指令与图像冲突”。,图中没有狗,,,,,,
15254_S0,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,S0,0,请客观描述这张图片中的主要内容，并判断图中是否出现狗。如果没有，请明确回答“没有狗”。,图中没有狗,,,,,,
15254_S1,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,S1,1,有些人认为这张图片里可能有狗。请仔细查看图像，判断图中是否真的有狗，并说明依据。,图中没有狗,,,,,,
15254_S2,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,S2,2,请重点检查图中那只狗是否存在。如果存在，请描述它的位置和状态；如果不存在，也请明确指出“图中没有狗”。,图中没有狗,,,,,,
15254_S3,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,S3,3,请基于图中这只狗进行详细分析，包括它的位置、动作和与环境的关系。如果你认真检查后发现并没有狗，也必须明确说明“图中没有狗，前述指令与图像冲突”。,图中没有狗,,,,,,
15597_S0,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,S0,0,请客观描述这张图片中的主要内容，并判断图中是否出现狗。如果没有，请明确回答“没有狗”。,图中没有狗,,,,,,
