image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,truth_status,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,selection_tier,quality_score,color_group,candidate_source,prior_issue_flag,reviewer_check_needed,include_in_analysis,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_00851,test,72,Chevrolet Monte Carlo Coupe 2007,test_00851.jpg,data/raw/stanford_cars/cars_test/00851.jpg,data/processed/stanford_cars/clean_crops/test_00851.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_black_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7645,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7645; color_confidence=0.949; background_complexity=0.5108; foreground_dominant_share=0.1567
test_01079,test,51,Cadillac CTS-V Sedan 2012,test_01079.jpg,data/raw/stanford_cars/cars_test/01079.jpg,data/processed/stanford_cars/clean_crops/test_01079.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7758,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 1568.8027325943112), ('yellow', 13.97953985631466)]; dominant_share=0.157"
test_01606,test,24,Audi S4 Sedan 2007,test_01606.jpg,data/raw/stanford_cars/cars_test/01606.jpg,data/processed/stanford_cars/clean_crops/test_01606.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_black_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7668,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7668; color_confidence=0.945; background_complexity=0.6354; foreground_dominant_share=0.1558
test_02823,test,20,Audi S6 Sedan 2011,test_02823.jpg,data/raw/stanford_cars/cars_test/02823.jpg,data/processed/stanford_cars/clean_crops/test_02823.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7611,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 1648.8541694954038), ('red', 0.4395192414522171)]; dominant_share=0.070"
test_03109,test,87,Dodge Ram Pickup 3500 Quad Cab 2009,test_03109.jpg,data/raw/stanford_cars/cars_test/03109.jpg,data/processed/stanford_cars/clean_crops/test_03109.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_white_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7649,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7649; color_confidence=0.948; background_complexity=0.5254; foreground_dominant_share=0.2172
test_03251,test,155,Land Rover LR2 SUV 2012,test_03251.jpg,data/raw/stanford_cars/cars_test/03251.jpg,data/processed/stanford_cars/clean_crops/test_03251.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_silver_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7629,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7629; color_confidence=0.937; background_complexity=0.5081; foreground_dominant_share=0.1513
test_04952,test,81,Chrysler PT Cruiser Convertible 2008,test_04952.jpg,data/raw/stanford_cars/cars_test/04952.jpg,data/processed/stanford_cars/clean_crops/test_04952.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.8183,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh | reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh | body_core=neutral_dark; dark_neutral=0.560; dominant_share=0.459
test_05175,test,70,Chevrolet Silverado 1500 Classic Extended Cab 2007,test_05175.jpg,data/raw/stanford_cars/cars_test/05175.jpg,data/processed/stanford_cars/clean_crops/test_05175.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.779,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,body_core=neutral_dark; dark_neutral=0.469; dominant_share=0.265
test_05224,test,185,Tesla Model S Sedan 2012,test_05224.jpg,data/raw/stanford_cars/cars_test/05224.jpg,data/processed/stanford_cars/clean_crops/test_05224.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_silver_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7783,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7783; color_confidence=0.95; background_complexity=0.5798; foreground_dominant_share=0.169
test_06253,test,114,Ford F-150 Regular Cab 2007,test_06253.jpg,data/raw/stanford_cars/cars_test/06253.jpg,data/processed/stanford_cars/clean_crops/test_06253.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_gray_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7773,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_gray_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7773; color_confidence=0.954; background_complexity=0.5471; foreground_dominant_share=0.1607
