candidate_id,image_id,assigned_true_color,source_path,staged_path,width,height,car_detection_count,primary_car_score,primary_car_area_ratio,secondary_car_area_ratio,sharpness_score,highlight_ratio,shadow_ratio,color_match_ratio,quality_score,auto_recommend_keep,auto_rank_within_color,auto_reason
vcor_test_red_044ed301f3,vcor_test_red_044ed301f3,red,data_external/vcor_raw/vcor_extracted/test/red/044ed301f3.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_044ed301f3.jpg,665,326,1,0.9504,0.9319,0.0000,215.5484,0.0186,0.0535,0.3316,4.0670,0,44,passes_auto_screen
vcor_test_red_0b9d8063c5,vcor_test_red_0b9d8063c5,red,data_external/vcor_raw/vcor_extracted/test/red/0b9d8063c5.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0b9d8063c5.jpg,197,103,2,0.9982,0.8853,0.2196,348.6108,0.0216,0.0153,0.3878,3.9900,0,47,secondary_car_interference
vcor_test_red_0ba3143a2c,vcor_test_red_0ba3143a2c,red,data_external/vcor_raw/vcor_extracted/test/red/0ba3143a2c.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0ba3143a2c.jpg,155,104,4,0.9076,0.9449,0.4669,531.7198,0.0414,0.0497,0.4595,3.8115,0,57,secondary_car_interference
vcor_test_red_0c098b9636,vcor_test_red_0c098b9636,red,data_external/vcor_raw/vcor_extracted/test/red/0c098b9636.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0c098b9636.jpg,44,20,1,0.3805,0.3308,0.0000,191.0657,0.0000,0.0000,0.0000,1.5775,0,75,weak_color_match
vcor_test_red_0c8ac10318,vcor_test_red_0c8ac10318,red,data_external/vcor_raw/vcor_extracted/test/red/0c8ac10318.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0c8ac10318.jpg,195,124,4,0.9694,0.7474,0.0286,255.2066,0.0212,0.0017,0.5584,4.3992,0,26,passes_auto_screen
vcor_test_red_0d357044c5,vcor_test_red_0d357044c5,red,data_external/vcor_raw/vcor_extracted/test/red/0d357044c5.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0d357044c5.jpg,692,411,0,0.0000,0.0000,0.0000,201.9055,0.2289,0.0536,0.2223,0.8736,0,79,car_too_small|highlight_overexposed
vcor_test_red_0df8f813a2,vcor_test_red_0df8f813a2,red,data_external/vcor_raw/vcor_extracted/test/red/0df8f813a2.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_0df8f813a2.jpg,214,122,1,0.9217,0.9331,0.0000,229.0572,0.1596,0.0183,0.5140,4.4118,0,24,highlight_overexposed
vcor_test_red_10fa2af7b6,vcor_test_red_10fa2af7b6,red,data_external/vcor_raw/vcor_extracted/test/red/10fa2af7b6.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_10fa2af7b6.jpg,266,68,3,0.9953,0.9313,0.1154,418.3666,0.0579,0.0140,0.5282,4.5343,0,16,passes_auto_screen
vcor_test_red_126652c274,vcor_test_red_126652c274,red,data_external/vcor_raw/vcor_extracted/test/red/126652c274.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_126652c274.jpg,615,300,1,0.9807,0.9451,0.0000,170.1721,0.0077,0.0075,0.4763,4.3932,0,27,passes_auto_screen
vcor_test_red_135358467b,vcor_test_red_135358467b,red,data_external/vcor_raw/vcor_extracted/test/red/135358467b.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_135358467b.jpg,286,141,7,0.9942,0.8627,0.5271,192.2475,0.0199,0.0000,0.5230,3.6816,0,65,secondary_car_interference
vcor_test_red_1446a4b271,vcor_test_red_1446a4b271,red,data_external/vcor_raw/vcor_extracted/test/red/1446a4b271.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1446a4b271.jpg,647,243,2,0.9937,0.9644,0.4386,536.2421,0.0186,0.1002,0.4437,3.8965,0,53,secondary_car_interference
vcor_test_red_1637b33e56,vcor_test_red_1637b33e56,red,data_external/vcor_raw/vcor_extracted/test/red/1637b33e56.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1637b33e56.jpg,121,93,3,0.7151,0.9351,0.0104,443.8342,0.0518,0.0022,0.4465,4.2794,0,35,passes_auto_screen
vcor_test_red_182e8791ae,vcor_test_red_182e8791ae,red,data_external/vcor_raw/vcor_extracted/test/red/182e8791ae.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_182e8791ae.jpg,268,130,5,0.9687,0.8323,0.4278,435.9287,0.0042,0.0188,0.5302,3.9422,0,50,secondary_car_interference
vcor_test_red_189df0ea24,vcor_test_red_189df0ea24,red,data_external/vcor_raw/vcor_extracted/test/red/189df0ea24.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_189df0ea24.jpg,720,439,2,0.7932,0.8147,0.0256,195.3022,0.1432,0.1590,0.5166,3.8137,0,56,highlight_overexposed
vcor_test_red_1c05fa87ff,vcor_test_red_1c05fa87ff,red,data_external/vcor_raw/vcor_extracted/test/red/1c05fa87ff.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1c05fa87ff.jpg,251,87,2,0.9992,0.8845,0.5025,297.7991,0.0031,0.0419,0.5231,3.9270,0,51,secondary_car_interference
vcor_test_red_1e50ae3795,vcor_test_red_1e50ae3795,red,data_external/vcor_raw/vcor_extracted/test/red/1e50ae3795.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1e50ae3795.jpg,274,159,9,0.9899,0.9512,0.0173,189.6777,0.0357,0.0435,0.5677,4.6102,0,13,passes_auto_screen
vcor_test_red_1fc0badd4a,vcor_test_red_1fc0badd4a,red,data_external/vcor_raw/vcor_extracted/test/red/1fc0badd4a.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_1fc0badd4a.jpg,200,118,10,0.9981,0.9426,0.0789,442.0087,0.0106,0.0211,0.5501,4.7146,1,7,passes_auto_screen
vcor_test_red_20133bb110,vcor_test_red_20133bb110,red,data_external/vcor_raw/vcor_extracted/test/red/20133bb110.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_20133bb110.jpg,188,120,1,0.2777,0.1512,0.0000,240.5347,0.0564,0.0024,0.4448,2.3361,0,73,car_too_small
vcor_test_red_26c9341952,vcor_test_red_26c9341952,red,data_external/vcor_raw/vcor_extracted/test/red/26c9341952.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_26c9341952.jpg,193,87,2,0.9469,0.9692,0.4107,206.5595,0.0135,0.0324,0.5282,4.0540,0,45,secondary_car_interference
vcor_test_red_29a8fae88a,vcor_test_red_29a8fae88a,red,data_external/vcor_raw/vcor_extracted/test/red/29a8fae88a.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_29a8fae88a.jpg,174,95,2,0.9795,0.8024,0.1237,179.4115,0.1302,0.0097,0.5495,3.9971,0,46,secondary_car_interference|highlight_overexposed
vcor_test_red_2d9d979b8b,vcor_test_red_2d9d979b8b,red,data_external/vcor_raw/vcor_extracted/test/red/2d9d979b8b.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_2d9d979b8b.jpg,222,82,2,0.9964,0.9377,0.5017,333.5256,0.0007,0.0074,0.5473,4.1300,0,39,secondary_car_interference
vcor_test_red_2fbb1d46b3,vcor_test_red_2fbb1d46b3,red,data_external/vcor_raw/vcor_extracted/test/red/2fbb1d46b3.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_2fbb1d46b3.jpg,214,115,1,0.9154,0.8388,0.0000,255.8981,0.0078,0.0030,0.4775,4.3913,0,28,passes_auto_screen
vcor_test_red_31b73eae23,vcor_test_red_31b73eae23,red,data_external/vcor_raw/vcor_extracted/test/red/31b73eae23.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_31b73eae23.jpg,239,106,4,0.9959,0.8344,0.4914,323.7309,0.0399,0.0643,0.4982,3.7108,0,64,secondary_car_interference
vcor_test_red_34c055891f,vcor_test_red_34c055891f,red,data_external/vcor_raw/vcor_extracted/test/red/34c055891f.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_34c055891f.jpg,250,120,1,0.9748,0.8588,0.0000,642.7985,0.0675,0.0372,0.5496,4.5531,0,15,passes_auto_screen
vcor_test_red_34cf95be91,vcor_test_red_34cf95be91,red,data_external/vcor_raw/vcor_extracted/test/red/34cf95be91.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_34cf95be91.jpg,245,115,0,0.0000,0.0000,0.0000,250.6757,0.0017,0.0926,0.2290,1.2778,0,77,car_too_small
vcor_test_red_37ebbc9c28,vcor_test_red_37ebbc9c28,red,data_external/vcor_raw/vcor_extracted/test/red/37ebbc9c28.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_37ebbc9c28.jpg,706,316,2,0.9986,0.9886,0.4540,280.7515,0.0670,0.0519,0.4171,3.8510,0,55,secondary_car_interference
vcor_test_red_380d56f7d0,vcor_test_red_380d56f7d0,red,data_external/vcor_raw/vcor_extracted/test/red/380d56f7d0.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_380d56f7d0.jpg,299,139,1,0.9943,0.9651,0.0000,289.6711,0.0050,0.0249,0.5503,4.8704,1,2,passes_auto_screen
vcor_test_red_382e377456,vcor_test_red_382e377456,red,data_external/vcor_raw/vcor_extracted/test/red/382e377456.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_382e377456.jpg,1096,510,1,0.9732,0.8404,0.0000,273.6999,0.0279,0.1033,0.4518,4.2520,0,36,passes_auto_screen
vcor_test_red_3a4146b5f8,vcor_test_red_3a4146b5f8,red,data_external/vcor_raw/vcor_extracted/test/red/3a4146b5f8.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_3a4146b5f8.jpg,252,135,1,0.8544,0.9004,0.0000,410.4587,0.0866,0.0924,0.4773,4.2813,0,34,passes_auto_screen
vcor_test_red_3a8637a1ff,vcor_test_red_3a8637a1ff,red,data_external/vcor_raw/vcor_extracted/test/red/3a8637a1ff.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_3a8637a1ff.jpg,199,99,2,0.9951,0.9090,0.2819,469.7924,0.0315,0.0293,0.3219,3.7571,0,63,secondary_car_interference
vcor_test_red_3bb01c0486,vcor_test_red_3bb01c0486,red,data_external/vcor_raw/vcor_extracted/test/red/3bb01c0486.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_3bb01c0486.jpg,251,157,1,0.9619,0.8620,0.0000,359.0374,0.0150,0.0497,0.4049,4.2380,0,37,passes_auto_screen
vcor_test_red_3d6b949e84,vcor_test_red_3d6b949e84,red,data_external/vcor_raw/vcor_extracted/test/red/3d6b949e84.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_3d6b949e84.jpg,343,97,1,0.9987,0.9112,0.0000,380.7146,0.0042,0.0133,0.5474,4.7716,1,4,passes_auto_screen
vcor_test_red_440e0f19bf,vcor_test_red_440e0f19bf,red,data_external/vcor_raw/vcor_extracted/test/red/440e0f19bf.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_440e0f19bf.jpg,241,109,2,0.2851,0.0201,0.0152,384.9341,0.0546,0.0000,0.4094,2.0050,0,74,car_too_small
vcor_test_red_450deda378,vcor_test_red_450deda378,red,data_external/vcor_raw/vcor_extracted/test/red/450deda378.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_450deda378.jpg,175,88,3,0.9981,0.8581,0.4747,435.5526,0.0174,0.0478,0.4715,3.7602,0,62,secondary_car_interference
vcor_test_red_47614868d3,vcor_test_red_47614868d3,red,data_external/vcor_raw/vcor_extracted/test/red/47614868d3.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_47614868d3.jpg,238,149,1,0.9850,0.8193,0.0000,351.5706,0.0070,0.0257,0.5190,4.4901,0,19,passes_auto_screen
vcor_test_red_485a638a93,vcor_test_red_485a638a93,red,data_external/vcor_raw/vcor_extracted/test/red/485a638a93.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_485a638a93.jpg,259,120,2,0.9991,0.8655,0.4061,274.6718,0.0179,0.0061,0.5002,3.9845,0,48,secondary_car_interference
vcor_test_red_488e84554b,vcor_test_red_488e84554b,red,data_external/vcor_raw/vcor_extracted/test/red/488e84554b.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_488e84554b.jpg,213,71,1,0.9989,0.9956,0.0000,451.3897,0.1045,0.0333,0.4356,4.5205,0,18,passes_auto_screen
vcor_test_red_4cef79d525,vcor_test_red_4cef79d525,red,data_external/vcor_raw/vcor_extracted/test/red/4cef79d525.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_4cef79d525.jpg,291,104,1,0.9905,0.8484,0.0000,577.2704,0.1050,0.0512,0.4752,4.2999,0,32,passes_auto_screen
vcor_test_red_4d7e9ffb15,vcor_test_red_4d7e9ffb15,red,data_external/vcor_raw/vcor_extracted/test/red/4d7e9ffb15.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_4d7e9ffb15.jpg,216,118,1,0.3257,0.0076,0.0000,610.0650,0.0136,0.0136,0.0204,1.0969,0,78,car_too_small|weak_color_match
