image_id,split,class_id,class_name,file_name,image_path,original_image_path,width,height,original_width,original_height,crop_box,primary_car_bbox,bbox_area_ratio,crop_fill_ratio,quality_score,background_complexity,true_color,estimated_color,color_confidence,foreground_dominant_share,selection_notes
test_00601,test,81,Chrysler PT Cruiser Convertible 2008,test_00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,396,256,640,480,"[0, 36, 640, 450]","[50, 91, 559, 304]",0.5532,0.6414,0.8109,0.0669,blue,blue,0.866,0.3945,"clean_subset_quality=0.8109; body_core=chromatic; top_scores=[('blue', 1328.924221791327), ('red', 348.6473109200597)]; dominant_share=0.354"
test_01069,test,193,Volvo C30 Hatchback 2012,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,1200,800,"[0, 0, 1200, 787]","[7, 51, 1152, 624]",0.7488,0.7612,0.8255,0.3843,red,red,0.947,0.2472,"clean_subset_quality=0.8255; body_core=chromatic; top_scores=[('red', 7915.702733710408), ('blue', 94.44281511753798)]; dominant_share=0.143"
test_01311,test,34,BMW M3 Coupe 2012,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,1594,1152,"[0, 59, 1594, 1152]","[7, 220, 1581, 896]",0.7714,0.8131,0.8551,0.3133,black,black,0.918,0.3102,clean_subset_quality=0.8551; body_core=neutral_dark; dark_neutral=0.851; dominant_share=0.421
test_02182,test,6,Acura Integra Type R 2001,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,1024,768,"[0, 34, 1024, 768]","[26, 132, 983, 543]",0.6787,0.7102,0.7616,0.5954,yellow,yellow,0.937,0.2105,"clean_subset_quality=0.7616; body_core=chromatic; top_scores=[('yellow', 8719.58094277978), ('red', 354.0962023213506)]; dominant_share=0.210"
test_03302,test,124,HUMMER H3T Crew Cab 2010,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,500,375,"[0, 0, 500, 354]","[3, 17, 497, 286]",0.7581,0.8031,0.8531,0.3887,red,red,0.949,0.3023,"clean_subset_quality=0.8531; body_core=chromatic; top_scores=[('red', 9125.498348556459), ('orange', 272.5611980855465)]; dominant_share=0.290"
test_03751,test,28,BMW 1 Series Coupe 2012,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,900,599,"[0, 0, 900, 599]","[1, 82, 899, 482]",0.8038,0.8038,0.8591,0.0402,white,white,0.896,0.257,clean_subset_quality=0.8591; body_core=neutral_bright; bright_neutral=0.781; dominant_share=0.328
test_03801,test,155,Land Rover LR2 SUV 2012,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,580,399,"[0, 28, 580, 399]","[25, 78, 530, 277]",0.6344,0.6823,0.8073,0.6521,blue,blue,0.886,0.4832,"clean_subset_quality=0.8073; body_core=chromatic; top_scores=[('blue', 106.05585854500532), ('red', 32.390610210597515)]; dominant_share=0.595"
test_05126,test,140,Hyundai Azera Sedan 2012,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,415,256,750,469,"[0, 0, 750, 463]","[34, 29, 683, 368]",0.7146,0.7238,0.9028,0.5765,blue,blue,0.98,0.642,"clean_subset_quality=0.9028; body_core=chromatic; top_scores=[('blue', 357.0708158016205), ('green', 9.65768377482891)]; dominant_share=0.621"
test_05992,test,194,Volvo 240 Sedan 1993,test_05992.jpg,data/processed/stanford_cars/clean_crops/test_05992.jpg,data/raw/stanford_cars/cars_test/05992.jpg,346,256,604,453,"[0, 6, 604, 453]","[2, 68, 602, 344]",0.7569,0.767,0.809,0.4902,red,red,0.906,0.2548,"clean_subset_quality=0.809; body_core=chromatic; top_scores=[('red', 2436.8432939872146), ('orange', 220.32605588436127)]; dominant_share=0.160"
test_06328,test,176,Rolls-Royce Ghost Sedan 2012,test_06328.jpg,data/processed/stanford_cars/clean_crops/test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,377,256,570,450,"[0, 63, 570, 450]","[3, 116, 549, 297]",0.6357,0.7392,0.8313,0.5038,blue,blue,0.968,0.327,"clean_subset_quality=0.8313; body_core=chromatic; top_scores=[('blue', 522.1971382498741), ('red', 0.18918778002262115)]; dominant_share=0.347"
test_06382,test,40,Bentley Arnage Sedan 2009,test_06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,442,256,640,371,"[0, 0, 640, 371]","[35, 18, 579, 323]",0.7876,0.7876,0.8699,0.2562,black,black,0.879,0.3724,clean_subset_quality=0.8699; body_core=neutral_dark; dark_neutral=0.661; dominant_share=0.444
test_06383,test,44,Bentley Continental Flying Spur Sedan 2007,test_06383.jpg,data/processed/stanford_cars/clean_crops/test_06383.jpg,data/raw/stanford_cars/cars_test/06383.jpg,405,256,640,480,"[0, 75, 640, 480]","[5, 135, 626, 333]",0.6786,0.8042,0.8239,0.658,white,white,0.865,0.3723,clean_subset_quality=0.8239; body_core=neutral_bright; bright_neutral=0.576; dominant_share=0.415
test_06787,test,144,Jaguar XK XKR 2012,test_06787.jpg,data/processed/stanford_cars/clean_crops/test_06787.jpg,data/raw/stanford_cars/cars_test/06787.jpg,385,256,1280,960,"[0, 109, 1280, 960]","[44, 229, 1181, 667]",0.6411,0.7232,0.8111,0.5406,red,red,0.895,0.368,"clean_subset_quality=0.8111; body_core=chromatic; top_scores=[('red', 52.2631563693285), ('brown', 10.427747465670109)]; dominant_share=0.508"
test_07040,test,53,Cadillac Escalade EXT Crew Cab 2007,test_07040.jpg,data/processed/stanford_cars/clean_crops/test_07040.jpg,data/raw/stanford_cars/cars_test/07040.jpg,382,256,2200,1473,"[0, 0, 2200, 1473]","[82, 148, 2025, 1171]",0.7317,0.7317,0.8001,0.5984,green,green,0.825,0.4022,"clean_subset_quality=0.8001; body_core=chromatic; top_scores=[('green', 154.76492522656918), ('yellow', 50.88735410571098)]; dominant_share=0.500"
test_07372,test,36,BMW M6 Convertible 2010,test_07372.jpg,data/processed/stanford_cars/clean_crops/test_07372.jpg,data/raw/stanford_cars/cars_test/07372.jpg,391,256,1024,768,"[0, 10, 1024, 681]","[51, 99, 937, 493]",0.5874,0.6723,0.824,0.3457,black,black,0.884,0.4577,clean_subset_quality=0.824; body_core=neutral_dark; dark_neutral=0.616; dominant_share=0.574
test_07373,test,149,Jeep Compass SUV 2012,test_07373.jpg,data/processed/stanford_cars/clean_crops/test_07373.jpg,data/raw/stanford_cars/cars_test/07373.jpg,455,256,792,446,"[0, 0, 792, 446]","[58, 16, 708, 416]",0.8338,0.8338,0.8276,0.6873,black,black,0.825,0.4317,clean_subset_quality=0.8276; body_core=neutral_dark; dark_neutral=0.395; dominant_share=0.485
test_07699,test,64,Chevrolet Express Cargo Van 2007,test_07699.jpg,data/processed/stanford_cars/clean_crops/test_07699.jpg,data/raw/stanford_cars/cars_test/07699.jpg,398,256,640,426,"[0, 14, 640, 426]","[19, 72, 605, 325]",0.7212,0.7457,0.8038,0.3862,white,white,0.856,0.2902,clean_subset_quality=0.8038; body_core=neutral_bright; bright_neutral=0.593; dominant_share=0.309
train_00114,train,71,Chevrolet Express Van 2007,train_00114.jpg,data/processed/stanford_cars/clean_crops/train_00114.jpg,data/raw/stanford_cars/cars_train/00114.jpg,398,256,640,426,"[0, 14, 640, 426]","[19, 72, 605, 325]",0.7212,0.7457,0.8038,0.3862,white,white,0.856,0.2902,clean_subset_quality=0.8038; body_core=neutral_bright; bright_neutral=0.593; dominant_share=0.309
train_00211,train,176,Rolls-Royce Ghost Sedan 2012,train_00211.jpg,data/processed/stanford_cars/clean_crops/train_00211.jpg,data/raw/stanford_cars/cars_train/00211.jpg,392,256,608,397,"[0, 0, 608, 397]","[11, 47, 587, 318]",0.7733,0.7733,0.801,0.6154,blue,blue,0.833,0.3233,"clean_subset_quality=0.801; body_core=chromatic; top_scores=[('blue', 309.0178918913007), ('brown', 86.94649052619934)]; dominant_share=0.401"
train_00913,train,152,Lamborghini Gallardo LP 570-4 Superleggera 2012,train_00913.jpg,data/processed/stanford_cars/clean_crops/train_00913.jpg,data/raw/stanford_cars/cars_train/00913.jpg,342,256,640,480,"[0, 0, 640, 479]","[9, 51, 626, 363]",0.7397,0.7413,0.7933,0.5253,green,green,0.948,0.2279,"clean_subset_quality=0.7933; body_core=chromatic; top_scores=[('green', 3427.0438441857696), ('blue', 71.27722880989313)]; dominant_share=0.208"
train_01253,train,37,BMW X3 SUV 2012,train_01253.jpg,data/processed/stanford_cars/clean_crops/train_01253.jpg,data/raw/stanford_cars/cars_train/01253.jpg,416,256,1280,807,"[0, 19, 1280, 807]","[78, 134, 1111, 638]",0.6862,0.7027,0.8715,0.2448,orange,orange,0.845,0.5536,"clean_subset_quality=0.8715; body_core=chromatic; top_scores=[('orange', 807.2790154516697), ('blue', 201.86513239890337)]; dominant_share=0.317"
train_01446,train,144,Jaguar XK XKR 2012,train_01446.jpg,data/processed/stanford_cars/clean_crops/train_01446.jpg,data/raw/stanford_cars/cars_train/01446.jpg,363,256,1600,1200,"[0, 73, 1600, 1200]","[28, 235, 1569, 900]",0.7355,0.7831,0.853,0.3972,white,white,0.842,0.4012,clean_subset_quality=0.853; body_core=neutral_bright; bright_neutral=0.470; dominant_share=0.401
train_01561,train,170,Nissan Juke Hatchback 2012,train_01561.jpg,data/processed/stanford_cars/clean_crops/train_01561.jpg,data/raw/stanford_cars/cars_train/01561.jpg,364,256,1280,960,"[0, 60, 1280, 960]","[37, 186, 1198, 698]",0.6805,0.7259,0.8325,0.6331,red,red,0.903,0.4594,"clean_subset_quality=0.8325; body_core=chromatic; top_scores=[('red', 391.3570071980357), ('blue', 61.936416536569595)]; dominant_share=0.401"
train_02608,train,76,Chrysler Aspen SUV 2009,train_02608.jpg,data/processed/stanford_cars/clean_crops/train_02608.jpg,data/raw/stanford_cars/cars_train/02608.jpg,450,256,712,405,"[0, 0, 712, 405]","[21, 23, 672, 358]",0.8343,0.8343,0.8216,0.5792,red,red,0.953,0.2596,"clean_subset_quality=0.8216; body_core=chromatic; top_scores=[('red', 3292.719494588673), ('orange', 5.917605474591255)]; dominant_share=0.179"
train_04760,train,34,BMW M3 Coupe 2012,train_04760.jpg,data/processed/stanford_cars/clean_crops/train_04760.jpg,data/raw/stanford_cars/cars_train/04760.jpg,369,256,1599,1149,"[0, 39, 1599, 1149]","[18, 199, 1563, 891]",0.758,0.7846,0.8384,0.3038,black,black,0.894,0.2759,clean_subset_quality=0.8384; body_core=neutral_dark; dark_neutral=0.769; dominant_share=0.369
train_05311,train,144,Jaguar XK XKR 2012,train_05311.jpg,data/processed/stanford_cars/clean_crops/train_05311.jpg,data/raw/stanford_cars/cars_train/05311.jpg,398,256,865,556,"[0, 0, 865, 556]","[39, 57, 799, 471]",0.7825,0.7825,0.8317,0.2408,black,black,0.85,0.2786,clean_subset_quality=0.8317; body_core=neutral_dark; dark_neutral=0.559; dominant_share=0.388
train_05584,train,34,BMW M3 Coupe 2012,train_05584.jpg,data/processed/stanford_cars/clean_crops/train_05584.jpg,data/raw/stanford_cars/cars_train/05584.jpg,445,256,1449,834,"[0, 0, 1449, 834]","[18, 28, 1424, 784]",0.9238,0.9238,0.8164,0.4572,blue,blue,0.949,0.2021,"clean_subset_quality=0.8164; body_core=chromatic; top_scores=[('blue', 1974.593377135694), ('orange', 18.519490376114845)]; dominant_share=0.165"
train_06380,train,160,McLaren MP4-12C Coupe 2012,train_06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,409,256,600,376,"[0, 0, 600, 376]","[27, 22, 554, 303]",0.7441,0.7441,0.8751,0.0544,orange,orange,0.929,0.3478,"clean_subset_quality=0.8751; body_core=chromatic; top_scores=[('orange', 4926.386204123497), ('red', 270.1435856074095)]; dominant_share=0.243"
train_07332,train,94,Dodge Durango SUV 2012,train_07332.jpg,data/processed/stanford_cars/clean_crops/train_07332.jpg,data/raw/stanford_cars/cars_train/07332.jpg,418,256,950,582,"[0, 0, 950, 582]","[34, 72, 885, 482]",0.7715,0.7715,0.8211,0.5007,red,red,0.948,0.2495,"clean_subset_quality=0.8211; body_core=chromatic; top_scores=[('red', 3446.321821987629), ('orange', 23.01029796898365)]; dominant_share=0.153"
train_07828,train,119,GMC Savana Van 2012,train_07828.jpg,data/processed/stanford_cars/clean_crops/train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,378,256,1024,768,"[0, 41, 1024, 734]","[41, 133, 949, 509]",0.6142,0.6807,0.8591,0.0587,white,white,0.934,0.4146,clean_subset_quality=0.8591; body_core=neutral_bright; bright_neutral=0.869; dominant_share=0.500
