image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,truth_status,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,selection_tier,quality_score,color_group,candidate_source,prior_issue_flag,reviewer_check_needed,include_in_analysis,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_03234,test,159,Mazda Tribute SUV 2011,test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black,gray,18,guaranteed_gray,base_reviewed_strict_colors,0.8184,black,strict_colors_base_manifest,yes,yes,yes,yes,yes,,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh
test_03550,test,144,Jaguar XK XKR 2012,test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_second_review_corrected,codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,red,64,quality_ranked_fill,base_reviewed_strict_colors,0.7999,black,strict_colors_base_manifest,yes,no,yes,yes,yes,,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit
test_03602,test,111,Ford Ranger SuperCab 2011,test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,black,31,quality_ranked_fill,base_reviewed_strict_colors,0.8105,black,strict_colors_base_manifest,no,no,yes,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_03648,test,173,Porsche Panamera Sedan 2012,test_03648.jpg,data/raw/stanford_cars/cars_test/03648.jpg,data/processed/stanford_cars/clean_crops/test_03648.jpg,black,white,manual_review_v3,manual_expansion_include_v3,,manual_expansion_include_v3,manual_expansion_include_clean_visual_color,black,26,expanded_black,expanded_v3_black_clean_subset,0.7775,black,clean_subset_manual_review_v3,no,no,yes,yes,yes,,manual_expansion_include_v3 | manual_expansion_include_clean_visual_color | quality_score=0.7775; color_confidence=0.798; background_complexity=0.5767; foreground_dominant_share=0.2536
test_03801,test,155,Land Rover LR2 SUV 2012,test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,blue,36,quality_ranked_fill,base_reviewed_strict_colors,0.8073,black,strict_colors_base_manifest,yes,no,yes,yes,yes,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
test_04127,test,120,GMC Yukon Hybrid SUV 2012,test_04127.jpg,data/raw/stanford_cars/cars_test/04127.jpg,data/processed/stanford_cars/clean_crops/test_04127.jpg,black,white,manual_review_v3,manual_expansion_include_v3,,manual_expansion_include_v3,manual_expansion_include_clean_visual_color,black,21,expanded_black,expanded_v3_black_clean_subset,0.7775,black,clean_subset_manual_review_v3,no,no,yes,yes,yes,,manual_expansion_include_v3 | manual_expansion_include_clean_visual_color | quality_score=0.7775; color_confidence=0.85; background_complexity=0.5469; foreground_dominant_share=0.2367
test_05126,test,140,Hyundai Azera Sedan 2012,test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,blue,1,guaranteed_blue,base_reviewed_strict_colors,0.9028,black,strict_colors_base_manifest,yes,no,yes,yes,yes,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
test_05187,test,40,Bentley Arnage Sedan 2009,test_05187.jpg,data/raw/stanford_cars/cars_test/05187.jpg,data/processed/stanford_cars/clean_crops/test_05187.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black,gray,114,quality_ranked_fill,base_reviewed_strict_colors,0.7857,black,strict_colors_base_manifest,yes,no,yes,yes,yes,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=black
test_05360,test,24,Audi S4 Sedan 2007,test_05360.jpg,data/raw/stanford_cars/cars_test/05360.jpg,data/processed/stanford_cars/clean_crops/test_05360.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,black,70,quality_ranked_fill,base_reviewed_strict_colors,0.7979,black,strict_colors_base_manifest,no,no,yes,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_05438,test,133,Hyundai Veracruz SUV 2012,test_05438.jpg,data/raw/stanford_cars/cars_test/05438.jpg,data/processed/stanford_cars/clean_crops/test_05438.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,black,94,quality_ranked_fill,base_reviewed_strict_colors,0.7895,black,strict_colors_base_manifest,no,no,yes,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_06382,test,40,Bentley Arnage Sedan 2009,test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,black,white,reviewed,reviewed_base_strict_colors,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,black,3,guaranteed_black,base_reviewed_strict_colors,0.8699,black,strict_colors_base_manifest,no,no,yes,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=black
