image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,quality_score,prior_issue_flag,reviewer_check_needed,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_00209,test,87,Dodge Ram Pickup 3500 Quad Cab 2009,test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,white,black,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white,gray,98,quality_ranked_fill,0.7885,yes,no,yes,yes,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white
test_00516,test,29,BMW 3 Series Sedan 2012,test_00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,69,quality_ranked_fill,0.7981,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_00667,test,159,Mazda Tribute SUV 2011,test_00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,green,yellow,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green,yellow,79,quality_ranked_fill,0.7955,yes,no,yes,yes,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green
test_01561,test,125,HUMMER H2 SUT Crew Cab 2009,test_01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,data/processed/stanford_cars/clean_crops/test_01561.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,89,quality_ranked_fill,0.7918,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01593,test,169,Nissan NV Passenger Van 2012,test_01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,data/processed/stanford_cars/clean_crops/test_01593.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,46,quality_ranked_fill,0.8048,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01672,test,149,Jeep Compass SUV 2012,test_01672.jpg,data/raw/stanford_cars/cars_test/01672.jpg,data/processed/stanford_cars/clean_crops/test_01672.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,52,quality_ranked_fill,0.8031,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01993,test,71,Chevrolet Express Van 2007,test_01993.jpg,data/raw/stanford_cars/cars_test/01993.jpg,data/processed/stanford_cars/clean_crops/test_01993.jpg,white,black,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white,gray,104,quality_ranked_fill,0.7876,yes,no,yes,yes,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=white
test_02405,test,85,Dodge Caravan Minivan 1997,test_02405.jpg,data/raw/stanford_cars/cars_test/02405.jpg,data/processed/stanford_cars/clean_crops/test_02405.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,71,quality_ranked_fill,0.7977,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_02679,test,139,Hyundai Elantra Touring Hatchback 2012,test_02679.jpg,data/raw/stanford_cars/cars_test/02679.jpg,data/processed/stanford_cars/clean_crops/test_02679.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,66,quality_ranked_fill,0.7984,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_02925,test,110,Ford Edge SUV 2012,test_02925.jpg,data/raw/stanford_cars/cars_test/02925.jpg,data/processed/stanford_cars/clean_crops/test_02925.jpg,red,blue,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,red,86,quality_ranked_fill,0.7936,no,no,yes,yes,,codex_single_review_contact_sheet_confirmed: reviewed=red
