model_key,model,reference_condition,condition_name,comparison,from_state,to_state,count,n_pairs,rate
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,faithful,faithful,300,300,1.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,faithful,conflict_aligned,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,faithful,other_wrong,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,faithful,refusal,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,faithful,parse_error,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,conflict_aligned,faithful,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,conflict_aligned,conflict_aligned,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,conflict_aligned,other_wrong,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,conflict_aligned,refusal,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,conflict_aligned,parse_error,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,other_wrong,faithful,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,other_wrong,conflict_aligned,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,other_wrong,other_wrong,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,other_wrong,refusal,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,other_wrong,parse_error,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,refusal,faithful,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,refusal,conflict_aligned,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,refusal,other_wrong,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,refusal,refusal,0,300,0.0
qwen2vl7b,Qwen2-VL-7B-Instruct,C0_neutral,C1_weak_suggestion,C0_vs_C1,refusal,parse_error,0,300,0.0
