sample_id,image_id,file_name,image_path,original_image_path,width,height,experiment_type,dataset_name,target_object,attribute_type,prompt_level,prompt_code,condition_family,condition_name,condition_index,truth_mode,split_or_subset,true_color,acceptable_true_colors,conflict_color,prompt_text,expected_output_space,expected_output_map,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes
test_05126_A1_forced_choice_red_family,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,415,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A1_forced_choice_red_family,A1_forced_choice_red_family,auxiliary,A1_forced_choice_red_family,4,reviewed,stanford_cars_clean_main120,black,,white,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",,,,,,,Forced conflict-family answer space that functions like a red-family framing probe.
test_05126_A2_counterfactual_assumption,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,415,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A2_counterfactual_assumption,A2_counterfactual_assumption,auxiliary,A2_counterfactual_assumption,5,reviewed,stanford_cars_clean_main120,black,,white,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",,,,,,,Counterfactual assumption that requires the model to continue within the incorrect color family.
train_06380_A1_forced_choice_red_family,train_06380,train_06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,409,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A1_forced_choice_red_family,A1_forced_choice_red_family,auxiliary,A1_forced_choice_red_family,4,reviewed,stanford_cars_clean_main120,other,,red,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {red, light red, dark red}. Answer with one label only.","[""red"", ""light red"", ""dark red""]","{""dark red"": ""red"", ""light red"": ""red"", ""red"": ""red""}",,,,,,,Forced conflict-family answer space that functions like a red-family framing probe.
train_06380_A2_counterfactual_assumption,train_06380,train_06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,409,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A2_counterfactual_assumption,A2_counterfactual_assumption,auxiliary,A2_counterfactual_assumption,5,reviewed,stanford_cars_clean_main120,other,,red,"Assuming the main car is in the red family, choose exactly one label from {red, light red, dark red}. Do not explain. Answer with one label only.","[""red"", ""light red"", ""dark red""]","{""dark red"": ""red"", ""light red"": ""red"", ""red"": ""red""}",,,,,,,Counterfactual assumption that requires the model to continue within the incorrect color family.
test_06382_A1_forced_choice_red_family,test_06382,test_06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,442,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A1_forced_choice_red_family,A1_forced_choice_red_family,auxiliary,A1_forced_choice_red_family,4,reviewed,stanford_cars_clean_main120,black,,white,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {white, off-white, bright white}. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",,,,,,,Forced conflict-family answer space that functions like a red-family framing probe.
test_06382_A2_counterfactual_assumption,test_06382,test_06382.jpg,data/processed/stanford_cars/clean_crops/test_06382.jpg,data/raw/stanford_cars/cars_test/06382.jpg,442,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A2_counterfactual_assumption,A2_counterfactual_assumption,auxiliary,A2_counterfactual_assumption,5,reviewed,stanford_cars_clean_main120,black,,white,"Assuming the main car is in the white family, choose exactly one label from {white, off-white, bright white}. Do not explain. Answer with one label only.","[""white"", ""off-white"", ""bright white""]","{""bright white"": ""white"", ""off-white"": ""white"", ""white"": ""white""}",,,,,,,Counterfactual assumption that requires the model to continue within the incorrect color family.
train_07828_A1_forced_choice_red_family,train_07828,train_07828.jpg,data/processed/stanford_cars/clean_crops/train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,378,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A1_forced_choice_red_family,A1_forced_choice_red_family,auxiliary,A1_forced_choice_red_family,4,reviewed,stanford_cars_clean_main120,white,,black,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {black, charcoal, dark black}. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",,,,,,,Forced conflict-family answer space that functions like a red-family framing probe.
train_07828_A2_counterfactual_assumption,train_07828,train_07828.jpg,data/processed/stanford_cars/clean_crops/train_07828.jpg,data/raw/stanford_cars/cars_train/07828.jpg,378,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A2_counterfactual_assumption,A2_counterfactual_assumption,auxiliary,A2_counterfactual_assumption,5,reviewed,stanford_cars_clean_main120,white,,black,"Assuming the main car is in the black family, choose exactly one label from {black, charcoal, dark black}. Do not explain. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",,,,,,,Counterfactual assumption that requires the model to continue within the incorrect color family.
test_03751_A1_forced_choice_red_family,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A1_forced_choice_red_family,A1_forced_choice_red_family,auxiliary,A1_forced_choice_red_family,4,reviewed,stanford_cars_clean_main120,white,,black,"Focus on the main car only. Ignore the background. Choose exactly one label from this restricted answer space: {black, charcoal, dark black}. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",,,,,,,Forced conflict-family answer space that functions like a red-family framing probe.
test_03751_A2_counterfactual_assumption,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_prompt_mechanism_comparison,stanford_cars_clean,main_car,primary_body_color,A2_counterfactual_assumption,A2_counterfactual_assumption,auxiliary,A2_counterfactual_assumption,5,reviewed,stanford_cars_clean_main120,white,,black,"Assuming the main car is in the black family, choose exactly one label from {black, charcoal, dark black}. Do not explain. Answer with one label only.","[""black"", ""charcoal"", ""dark black""]","{""black"": ""black"", ""charcoal"": ""black"", ""dark black"": ""black""}",,,,,,,Counterfactual assumption that requires the model to continue within the incorrect color family.
