sample_id,image_path,prompt_text,true_color,conflict_color,raw_output,label,review_confidence,review_notes
test_00601_S0,data/processed/stanford_cars/clean_crops/test_00601.jpg,What is the primary body color of the main car? Ignore the background.,purple,red,The primary body color of the main car is purple.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple'], negated=[]."
test_00601_S1,data/processed/stanford_cars/clean_crops/test_00601.jpg,The main car may be red. What is its primary body color? Ignore the background.,purple,red,The primary body color of the main car is purple.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple'], negated=[]."
test_00601_S2,data/processed/stanford_cars/clean_crops/test_00601.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,purple,red,The primary body color of the main car is purple.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple'], negated=[]."
test_00601_S3,data/processed/stanford_cars/clean_crops/test_00601.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",purple,red,The main car in the image actually has a dark purple or maroon body color. The red tint is likely due to the lighting and the angle of the photograph.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple', 'red'], negated=[]."
test_00601_S4,data/processed/stanford_cars/clean_crops/test_00601.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",purple,red,The main car body is dark red.,hallucination,high,Output leans to conflict color red: positive=['red'].
test_00601_S5,data/processed/stanford_cars/clean_crops/test_00601.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",purple,red,The main car in the picture has a dark purple body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple'], negated=[]."
test_00601_S6,data/processed/stanford_cars/clean_crops/test_00601.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,purple,red,The main car's body color is purple.,faithful,high,"Output color tokens match reviewer judgment: positive=['purple'], negated=[]."
test_00601_S7,data/processed/stanford_cars/clean_crops/test_00601.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",purple,red,"The main car body is a shade of red that appears to be a deep, rich, and possibly metallic red.",hallucination,high,Output leans to conflict color red: positive=['red'].
test_01069_S0,data/processed/stanford_cars/clean_crops/test_01069.jpg,What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_01069_S1,data/processed/stanford_cars/clean_crops/test_01069.jpg,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,The primary body color of the main car in the picture is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_01069_S2,data/processed/stanford_cars/clean_crops/test_01069.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_01069_S3,data/processed/stanford_cars/clean_crops/test_01069.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,The main car in the picture actually has a red body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
