image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,quality_score,prior_issue_flag,reviewer_check_needed,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_00392,test,121,GMC Acadia SUV 2012,test_00392.jpg,data/raw/stanford_cars/cars_test/00392.jpg,data/processed/stanford_cars/clean_crops/test_00392.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver,gray,118,quality_ranked_fill,0.7838,yes,no,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver
test_00601,test,81,Chrysler PT Cruiser Convertible 2008,test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,other,red,reviewed,,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> other; reason=other_wrong_audit,blue,29,quality_ranked_fill,0.8109,yes,yes,no,no,ambiguous_true_color_excluded:other,prior_issue_flag | reviewer_check_needed | codex_second_review_correction: reviewed=blue -> other; reason=other_wrong_audit
test_01104,test,56,Chevrolet Corvette ZR1 2012,test_01104.jpg,data/raw/stanford_cars/cars_test/01104.jpg,data/processed/stanford_cars/clean_crops/test_01104.jpg,silver,blue,reviewed,white,codex_second_review_boundary_case,codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=white,gray,60,quality_ranked_fill,0.8008,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=white
test_01195,test,195,Volvo XC90 SUV 2007,test_01195.jpg,data/raw/stanford_cars/cars_test/01195.jpg,data/processed/stanford_cars/clean_crops/test_01195.jpg,silver,blue,reviewed,gray,codex_second_review_boundary_case,codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray,gray,47,quality_ranked_fill,0.8046,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray
test_01497,test,121,GMC Acadia SUV 2012,test_01497.jpg,data/raw/stanford_cars/cars_test/01497.jpg,data/processed/stanford_cars/clean_crops/test_01497.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver,gray,55,quality_ranked_fill,0.8026,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver | persistent_silver_white_boundary_after_v2_refresh
test_01536,test,146,Jeep Wrangler SUV 2012,test_01536.jpg,data/raw/stanford_cars/cars_test/01536.jpg,data/processed/stanford_cars/clean_crops/test_01536.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver,gray,26,quality_ranked_fill,0.8149,yes,no,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver
test_02874,test,49,Buick Verano Sedan 2012,test_02874.jpg,data/raw/stanford_cars/cars_test/02874.jpg,data/processed/stanford_cars/clean_crops/test_02874.jpg,other,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=other,other,8,guaranteed_other,0.8371,no,yes,no,no,ambiguous_true_color_excluded:other,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=other
test_03269,test,126,Honda Odyssey Minivan 2012,test_03269.jpg,data/raw/stanford_cars/cars_test/03269.jpg,data/processed/stanford_cars/clean_crops/test_03269.jpg,blue,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,blue,41,quality_ranked_fill,0.8059,no,no,no,no,dark_low_saturation_color_boundary_case,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_04145,test,195,Volvo XC90 SUV 2007,test_04145.jpg,data/raw/stanford_cars/cars_test/04145.jpg,data/processed/stanford_cars/clean_crops/test_04145.jpg,other,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=other,other,32,quality_ranked_fill,0.81,no,yes,no,no,ambiguous_true_color_excluded:other,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=other
test_06162,test,11,Aston Martin Virage Coupe 2012,test_06162.jpg,data/raw/stanford_cars/cars_test/06162.jpg,data/processed/stanford_cars/clean_crops/test_06162.jpg,other,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=other,other,77,quality_ranked_fill,0.7958,no,yes,no,no,ambiguous_true_color_excluded:other,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=other
