model_key,condition_name,n,faithful_n,faithful_rate,faithful_rate_pct,faithful_ci_95,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_rate_pct,conflict_aligned_ci_95,other_wrong_n,other_wrong_rate,other_wrong_rate_pct,refusal_or_correction_n,refusal_or_correction_rate,refusal_or_correction_rate_pct,parse_error_n,parse_error_rate,parse_error_rate_pct
qwen2vl7b,C0_neutral,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C1_weak_suggestion,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C2_false_assertion_open,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C3_presupposition_correction_allowed,300,299,0.9966666666666668,99.67%,"[98.16%, 99.99%]",1,0.0033333333333333,0.33%,"[0.01%, 1.84%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
qwen2vl7b,C4_stronger_open_conflict,300,299,0.9966666666666668,99.67%,"[98.16%, 99.99%]",1,0.0033333333333333,0.33%,"[0.01%, 1.84%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C0_neutral,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C1_weak_suggestion,300,299,0.9966666666666668,99.67%,"[98.16%, 99.99%]",1,0.0033333333333333,0.33%,"[0.01%, 1.84%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C2_false_assertion_open,300,297,0.99,99.00%,"[97.11%, 99.79%]",3,0.01,1.00%,"[0.21%, 2.89%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C3_presupposition_correction_allowed,300,273,0.91,91.00%,"[87.18%, 93.99%]",27,0.09,9.00%,"[6.01%, 12.82%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
llava15_7b,C4_stronger_open_conflict,300,290,0.9666666666666668,96.67%,"[93.96%, 98.39%]",10,0.0333333333333333,3.33%,"[1.61%, 6.04%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C0_neutral,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C1_weak_suggestion,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C2_false_assertion_open,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C3_presupposition_correction_allowed,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
internvl2_8b,C4_stronger_open_conflict,300,300,1.0,100.00%,"[98.78%, 100.00%]",0,0.0,0.00%,"[0.00%, 1.22%]",0,0.0,0.00%,0,0.0,0.00%,0,0.0,0.00%
