review_id,image_file,audit_row_id,target_row_id,sample_id,image_id,image_path,model,condition,robustness_variant,audit_source_module,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,is_faithful,audit_group,parsed_label,match_strategy,review_status,body_color_visible,visual_clarity,body_color_salience,specular_reflection,shadow_or_night_effect,background_color_bias,multi_car_interference,occlusion,include_in_validity_analysis,audit_notes,reviewer_initials,row_complete,analysis_inclusion
VC-001,images/VC-001.jpg,audit_035,target_033_main_original_C4_vcor_train_white_119357b266,vcor_train_white_4cc212b728_C4_stronger_open_conflict,vcor_train_white_4cc212b728,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4cc212b728.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-002,images/VC-002.jpg,audit_028,target_030_main_original_C4_vcor_test_black_9be75bffb3,vcor_train_black_1f2fa08321_C4_stronger_open_conflict,vcor_train_black_1f2fa08321,data_external/vcor_selected/candidate_pool/black/vcor_train_black_1f2fa08321.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,black,white,Black,VCoR,False,True,matched_faithful_control,black,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-003,images/VC-003.jpg,audit_064,target_022_main_original_C3_vcor_train_white_2491c92cf7,vcor_train_white_2491c92cf7_C3_presupposition_correction_allowed,vcor_train_white_2491c92cf7,data_external/vcor_selected/candidate_pool/white/vcor_train_white_2491c92cf7.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-004,images/VC-004.jpg,audit_014,target_019_main_original_C3_vcor_train_white_07e38253c0,vcor_test_white_31bb316aee_C3_presupposition_correction_allowed,vcor_test_white_31bb316aee,data_external/vcor_selected/candidate_pool/white/vcor_test_white_31bb316aee.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-005,images/VC-005.jpg,audit_050,target_002_main_original_C3_test_03751,test_03751_C3_presupposition_correction_allowed,test_03751,data/processed/stanford_cars/clean_crops/test_03751.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-006,images/VC-006.jpg,audit_006,target_014_main_original_C3_vcor_test_blue_fc0797898c,vcor_train_blue_01b4202a1f_C3_presupposition_correction_allowed,vcor_train_blue_01b4202a1f,data_external/vcor_selected/candidate_pool/blue/vcor_train_blue_01b4202a1f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,VCoR,False,True,matched_faithful_control,blue,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-007,images/VC-007.jpg,audit_058,target_016_main_original_C3_vcor_test_white_c27b6c305a,vcor_test_white_c27b6c305a_C3_presupposition_correction_allowed,vcor_test_white_c27b6c305a,data_external/vcor_selected/candidate_pool/white/vcor_test_white_c27b6c305a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,none_minor,none_minor,moderate,minor,none,include,,Yutong Liu,Complete,include
VC-008,images/VC-008.jpg,audit_051,target_003_main_original_C3_test_03865,test_03865_C3_presupposition_correction_allowed,test_03865,data/processed/stanford_cars/clean_crops/test_03865.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,partly,moderate,medium,moderate,moderate,none_minor,none,none,include,"Blue racing stripes alter the white body-colour read, but the main body remains judgeable.",Yutong Liu,Complete,include
VC-009,images/VC-009.jpg,audit_080,target_038_wording_variant_C3_v2_test_07534,test_07534__C3_v2,test_07534,data/processed/stanford_cars/clean_crops/test_07534.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,wording_variant_C3_v2,blue,red,Red,StanfordCars,True,False,target_conflict_flip,red,target_case,complete,yes,clear,high,moderate,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-010,images/VC-010.jpg,audit_045,target_005_main_original_C3_test_07534,test_07534_C3_presupposition_correction_allowed,test_07534,data/processed/stanford_cars/clean_crops/test_07534.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,StanfordCars,True,False,target_conflict_flip,red,target_case,complete,yes,clear,high,moderate,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-011,images/VC-011.jpg,audit_030,target_027_main_original_C4_train_00272,train_07139_C4_stronger_open_conflict,train_07139,data/processed/stanford_cars/clean_crops/train_07139.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,moderate,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-012,images/VC-012.jpg,audit_082,target_040_wording_variant_C3_v2_vcor_test_white_cc79dd085a,vcor_test_white_cc79dd085a__C3_v2,vcor_test_white_cc79dd085a,data_external/vcor_selected/candidate_pool/white/vcor_test_white_cc79dd085a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,wording_variant_C3_v2,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
