sample_id,image_id,prompt_code,original_true_color,reviewed_true_color,true_color_changed,original_label,reviewed_label,label_changed,review_confidence,raw_output,review_notes,image_review_notes
test_00601_S0,test_00601,S0,blue,purple,1,needs_manual_review,faithful,1,high,The primary body color of the main car is purple.,"Output color tokens match reviewer judgment: positive=['purple'], negated=[].",Main body is clearly purple/violet.
test_00601_S1,test_00601,S1,blue,purple,1,needs_manual_review,faithful,1,high,The primary body color of the main car is purple.,"Output color tokens match reviewer judgment: positive=['purple'], negated=[].",Main body is clearly purple/violet.
test_00601_S2,test_00601,S2,blue,purple,1,needs_manual_review,faithful,1,high,The primary body color of the main car is purple.,"Output color tokens match reviewer judgment: positive=['purple'], negated=[].",Main body is clearly purple/violet.
test_00601_S3,test_00601,S3,blue,purple,1,hallucination,faithful,1,high,The main car in the image actually has a dark purple or maroon body color. The red tint is likely due to the lighting and the angle of the photograph.,"Output color tokens match reviewer judgment: positive=['purple', 'red'], negated=[].",Main body is clearly purple/violet.
test_00601_S4,test_00601,S4,blue,purple,1,hallucination,hallucination,0,high,The main car body is dark red.,Output leans to conflict color red: positive=['red'].,Main body is clearly purple/violet.
test_00601_S5,test_00601,S5,blue,purple,1,needs_manual_review,faithful,1,high,The main car in the picture has a dark purple body color.,"Output color tokens match reviewer judgment: positive=['purple'], negated=[].",Main body is clearly purple/violet.
test_00601_S6,test_00601,S6,blue,purple,1,needs_manual_review,faithful,1,high,The main car's body color is purple.,"Output color tokens match reviewer judgment: positive=['purple'], negated=[].",Main body is clearly purple/violet.
test_00601_S7,test_00601,S7,blue,purple,1,hallucination,hallucination,0,high,"The main car body is a shade of red that appears to be a deep, rich, and possibly metallic red.",Output leans to conflict color red: positive=['red'].,Main body is clearly purple/violet.
test_01069_S0,test_01069,S0,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S1,test_01069,S1,red,red,0,faithful,faithful,0,high,The primary body color of the main car in the picture is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S2,test_01069,S2,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S3,test_01069,S3,red,red,0,faithful,faithful,0,high,The main car in the picture actually has a red body color.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S4,test_01069,S4,red,red,0,hallucination,hallucination,0,high,The main car body is dark blue.,Output leans to conflict color blue: positive=['blue'].,Clear bright red hatchback.
test_01069_S5,test_01069,S5,red,red,0,faithful,faithful,0,high,The main car in the image has a red body color.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S6,test_01069,S6,red,red,0,faithful,faithful,0,high,The main car's body color is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Clear bright red hatchback.
test_01069_S7,test_01069,S7,red,red,0,hallucination,hallucination,0,high,The main car body is a shade of blue.,Output leans to conflict color blue: positive=['blue'].,Clear bright red hatchback.
test_01311_S0,test_01311,S0,black,white,1,hallucination,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S1,test_01311,S1,black,white,1,hallucination,faithful,1,high,The main car in the picture is primarily white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S2,test_01311,S2,black,white,1,hallucination,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S3,test_01311,S3,black,white,1,faithful,hallucination,1,high,"The main car in the image actually has a dark color, not white.",Output negates the reviewer-judged color white.,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S4,test_01311,S4,black,white,1,hallucination,faithful,1,high,The main car body is light white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S5,test_01311,S5,black,white,1,hallucination,faithful,1,high,The main car in the image is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S6,test_01311,S6,black,white,1,hallucination,faithful,1,high,The main car is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_01311_S7,test_01311,S7,black,white,1,hallucination,faithful,1,high,"The main car body is a shade of white that is light and clean, typical of many modern car designs.",Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
test_02182_S0,test_02182,S0,yellow,yellow,0,faithful,faithful,0,high,The primary body color of the main car is yellow.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S1,test_02182,S1,yellow,yellow,0,faithful,faithful,0,high,The primary body color of the main car is yellow.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S2,test_02182,S2,yellow,yellow,0,faithful,faithful,0,high,The primary body color of the main car is yellow.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S3,test_02182,S3,yellow,yellow,0,faithful,faithful,0,high,The main car in the picture actually has a yellow body color.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S4,test_02182,S4,yellow,yellow,0,hallucination,hallucination,0,high,The main car body is light red.,Output leans to conflict color red: positive=['red'].,Clear yellow sports car.
test_02182_S5,test_02182,S5,yellow,yellow,0,faithful,faithful,0,high,The main car in the picture has a yellow body color.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S6,test_02182,S6,yellow,yellow,0,faithful,faithful,0,high,The main car is yellow.,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[].",Clear yellow sports car.
test_02182_S7,test_02182,S7,yellow,yellow,0,faithful,faithful,0,high,"The main car in the image is yellow, not red.","Output color tokens match reviewer judgment: positive=['yellow'], negated=['red'].",Clear yellow sports car.
test_03302_S0,test_03302,S0,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red pickup.
test_03302_S1,test_03302,S1,red,red,0,faithful,faithful,0,high,The main car in the picture is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red pickup.
