image_id,decision,review_label,review_reason,notes
test_04952,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_06328,exclude,blue,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_06708,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_06787,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
train_01346,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_01079,exclude,blue,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_01711,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
test_02823,exclude,blue,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_04205,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
test_06636,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_02755,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_03962,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_04054,exclude,blue,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
train_05119,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_06084,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_06765,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_07761,include,blue,manual_expansion_include_clean_visual_color,expanded_v3_blue_clean_subset
train_00594,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
train_05215,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_00806,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
train_02219,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_01450,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_03599,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_01841,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
train_01438,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
train_00209,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_02024,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_08029,include,white,manual_expansion_include_clean_visual_color,expanded_v3_white_clean_subset
test_05175,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
test_04127,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
train_01804,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
train_02078,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
train_05381,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
train_07422,exclude,black,ambiguous_after_manual_review,remove_from_formal_v3_after_manual_review
train_00296,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
test_03648,include,black,manual_expansion_include_clean_visual_color,expanded_v3_black_clean_subset
test_05721,include,yellow,manual_expansion_include_clean_visual_color,expanded_v3_yellow_clean_subset
test_00630,include,yellow,manual_expansion_include_clean_visual_color,expanded_v3_yellow_clean_subset
train_03119,include,yellow,manual_expansion_include_clean_visual_color,expanded_v3_yellow_clean_subset
test_02182,include,yellow,manual_expansion_include_clean_visual_color,expanded_v3_yellow_clean_subset
train_00853,include,yellow,manual_expansion_include_clean_visual_color,expanded_v3_yellow_clean_subset
test_06488,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_03610,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_05791,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_03118,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_07492,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_05289,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_01557,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_07513,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_04837,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_01724,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_06122,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_01909,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_01395,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_02898,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
train_05174,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_06012,include,red,manual_expansion_include_clean_visual_color,expanded_v3_red_clean_subset
test_07319,exclude,white,expansion_candidate_rejected_gold_beige_after_manual_review,do_not_use_in_formal_v3
train_02754,exclude,blue,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3
test_03109,exclude,blue,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3
test_07916,exclude,blue,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3
test_07887,exclude,blue,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3
test_00851,exclude,blue,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3
train_06119,exclude,blue,expansion_candidate_rejected_maroon_after_manual_review,do_not_use_in_formal_v3
train_02068,exclude,blue,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3
test_05224,exclude,blue,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3
test_06253,exclude,blue,expansion_candidate_rejected_gray_after_manual_review,do_not_use_in_formal_v3
train_07923,exclude,blue,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3
train_00043,exclude,blue,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3
test_01606,exclude,blue,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3
train_05810,exclude,blue,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3
test_03251,exclude,blue,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3
test_07434,exclude,blue,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3
train_04428,exclude,blue,expansion_candidate_rejected_not_confidently_blue_after_manual_review,do_not_use_in_formal_v3
