sample_id,image_id,file_name,image_path,condition_name,condition_family,prompt_template_version,prompt_text,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error
test_03234__C3_v2,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v2,"Someone describes the main car as white. Based on the image, what is the main car's actual primary body color? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,6.3946,black,ok,
test_03234__C3_v3,test_03234,test_03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v3,"The prompt says the main car is white. Looking at the image, which primary body color does the main car actually have? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.8835,black,ok,
test_03550__C3_v2,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v2,"Someone describes the main car as white. Based on the image, what is the main car's actual primary body color? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.9129,black,ok,
test_03550__C3_v3,test_03550,test_03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v3,"The prompt says the main car is white. Looking at the image, which primary body color does the main car actually have? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.8843,black,ok,
test_03602__C3_v2,test_03602,test_03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v2,"Someone describes the main car as white. Based on the image, what is the main car's actual primary body color? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.9447,black,ok,
test_03602__C3_v3,test_03602,test_03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v3,"The prompt says the main car is white. Looking at the image, which primary body color does the main car actually have? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.8885,black,ok,
test_03801__C3_v2,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v2,"Someone describes the main car as white. Based on the image, what is the main car's actual primary body color? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.9060,black,ok,
test_03801__C3_v3,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v3,"The prompt says the main car is white. Looking at the image, which primary body color does the main car actually have? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.8746,black,ok,
test_05126__C3_v2,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v2,"Someone describes the main car as white. Based on the image, what is the main car's actual primary body color? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.9351,black,ok,
test_05126__C3_v3,test_05126,test_05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors__C3_v3,"The prompt says the main car is white. Looking at the image, which primary body color does the main car actually have? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,1.8863,black,ok,
