image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,truth_status,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,selection_tier,quality_score,color_group,candidate_source,prior_issue_flag,reviewer_check_needed,include_in_analysis,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_01079,test,51,Cadillac CTS-V Sedan 2012,test_01079.jpg,data/raw/stanford_cars/cars_test/01079.jpg,data/processed/stanford_cars/clean_crops/test_01079.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7758,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 1568.8027325943112), ('yellow', 13.97953985631466)]; dominant_share=0.157"
test_02823,test,20,Audi S6 Sedan 2011,test_02823.jpg,data/raw/stanford_cars/cars_test/02823.jpg,data/processed/stanford_cars/clean_crops/test_02823.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7611,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 1648.8541694954038), ('red', 0.4395192414522171)]; dominant_share=0.070"
test_04952,test,81,Chrysler PT Cruiser Convertible 2008,test_04952.jpg,data/raw/stanford_cars/cars_test/04952.jpg,data/processed/stanford_cars/clean_crops/test_04952.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.8183,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh | reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=black | residual_black_vehicle_misread_after_v2_refresh | body_core=neutral_dark; dark_neutral=0.560; dominant_share=0.459
test_05175,test,70,Chevrolet Silverado 1500 Classic Extended Cab 2007,test_05175.jpg,data/raw/stanford_cars/cars_test/05175.jpg,data/processed/stanford_cars/clean_crops/test_05175.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.779,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,body_core=neutral_dark; dark_neutral=0.469; dominant_share=0.265
test_06328,test,176,Rolls-Royce Ghost Sedan 2012,test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,data/processed/stanford_cars/clean_crops/test_06328.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,codex_single_review_contact_sheet_confirmed: reviewed=blue,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.8313,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"codex_single_review_contact_sheet_confirmed: reviewed=blue | codex_single_review_contact_sheet_confirmed: reviewed=blue | body_core=chromatic; top_scores=[('blue', 522.1971382498741), ('red', 0.18918778002262115)]; dominant_share=0.347"
test_06708,test,94,Dodge Durango SUV 2012,test_06708.jpg,data/raw/stanford_cars/cars_test/06708.jpg,data/processed/stanford_cars/clean_crops/test_06708.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7908,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit | prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit | body_core=chromatic; top_scores=[('blue', 184.22441636770964), ('orange', 27.526088774204254)]; dominant_share=0.397"
test_06787,test,144,Jaguar XK XKR 2012,test_06787.jpg,data/raw/stanford_cars/cars_test/06787.jpg,data/processed/stanford_cars/clean_crops/test_06787.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,red,,manual_review_excluded_v3,manual_review_excluded_v3,0.8111,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit | prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit | body_core=chromatic; top_scores=[('red', 52.2631563693285), ('brown', 10.427747465670109)]; dominant_share=0.508"
train_01346,train,13,Audi A5 Coupe 2012,train_01346.jpg,data/raw/stanford_cars/cars_train/01346.jpg,data/processed/stanford_cars/clean_crops/train_01346.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh,other,,manual_review_excluded_v3,manual_review_excluded_v3,0.7898,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh | prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh | body_core=chromatic; top_scores=[('orange', 68.24114067107439), ('red', 37.50356621295214)]; dominant_share=0.518"
train_04054,train,36,BMW M6 Convertible 2010,train_04054.jpg,data/raw/stanford_cars/cars_train/04054.jpg,data/processed/stanford_cars/clean_crops/train_04054.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7692,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 6389.880797289312), ('red', 4.0514587461948395)]; dominant_share=0.192"
train_07422,train,120,GMC Yukon Hybrid SUV 2012,train_07422.jpg,data/raw/stanford_cars/cars_train/07422.jpg,data/processed/stanford_cars/clean_crops/train_07422.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.762,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,body_core=neutral_dark; dark_neutral=0.471; dominant_share=0.373
