sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,experiment_type,prompt_level,prompt_code,conflict_strength,prompt_text,expected_answer,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes
2592_S0,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
2592_S1,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
2592_S2,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
2592_S3,2592,000000002592.jpg,data/selected_images/no_dog_sample_50/000000002592.jpg,640,366,0,3,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
12280_S0,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
12280_S1,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
12280_S2,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
12280_S3,12280,000000012280.jpg,data/selected_images/no_dog_sample_50/000000012280.jpg,480,640,0,5,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
13201_S0,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
13201_S1,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
13201_S2,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
13201_S3,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
15254_S0,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
15254_S1,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
15254_S2,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
15254_S3,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
15597_S0,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
15597_S1,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
15597_S2,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
15597_S3,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
48396_S0,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
48396_S1,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
48396_S2,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
48396_S3,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
51326_S0,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
51326_S1,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
51326_S2,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
51326_S3,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
56344_S0,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
56344_S1,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
56344_S2,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
56344_S3,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,,,,,,,
61960_S0,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,,,,,,,
61960_S1,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,,,,,,,
