sample_id,image_id,file_name,image_path,condition_name,condition_family,prompt_template_version,prompt_text,model_key,model_name,checkpoint_name,precision,device,device_map,batch_size,elapsed_seconds,raw_output,status,error
test_00209_C0_neutral,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,C0_neutral,primary,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,4.1329,white,ok,
test_00209_C1_weak_suggestion,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,C1_weak_suggestion,primary,primary_conditions_v2_strict_colors,"Some people might describe the main car as black. What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0344,white,ok,
test_00209_C2_false_assertion_open,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,C2_false_assertion_open,primary,primary_conditions_v2_strict_colors,"A prior note says the main car is black. What is the primary body color of the main car in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0761,white,ok,
test_00209_C3_presupposition_correction_allowed,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors,"When the main car is described as black, what color does the main car actually appear to be in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0896,white,ok,
test_00209_C4_stronger_open_conflict,test_00209,test_00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,C4_stronger_open_conflict,primary,primary_conditions_v2_strict_colors,"A report repeatedly refers to the main car as black, and the answer should name the main car's primary body color seen in the image. Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0899,white,ok,
test_00516_C0_neutral,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,C0_neutral,primary,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0467,red,ok,
test_00516_C1_weak_suggestion,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,C1_weak_suggestion,primary,primary_conditions_v2_strict_colors,"Some people might describe the main car as blue. What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0887,red,ok,
test_00516_C2_false_assertion_open,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,C2_false_assertion_open,primary,primary_conditions_v2_strict_colors,"A prior note says the main car is blue. What is the primary body color of the main car in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.1004,red,ok,
test_00516_C3_presupposition_correction_allowed,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,C3_presupposition_correction_allowed,primary,primary_conditions_v2_strict_colors,"When the main car is described as blue, what color does the main car actually appear to be in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.1063,red,ok,
test_00516_C4_stronger_open_conflict,test_00516,test_00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,C4_stronger_open_conflict,primary,primary_conditions_v2_strict_colors,"A report repeatedly refers to the main car as blue, and the answer should name the main car's primary body color seen in the image. Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.1418,red,ok,
test_00667_C0_neutral,test_00667,test_00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,C0_neutral,primary,primary_conditions_v2_strict_colors,"What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0965,green,ok,
test_00667_C1_weak_suggestion,test_00667,test_00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,C1_weak_suggestion,primary,primary_conditions_v2_strict_colors,"Some people might describe the main car as yellow. What is the primary body color of the main car in this image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.1452,green,ok,
test_00667_C2_false_assertion_open,test_00667,test_00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,C2_false_assertion_open,primary,primary_conditions_v2_strict_colors,"A prior note says the main car is yellow. What is the primary body color of the main car in the image? Select exactly one label from {red, blue, green, yellow, black, white, other}. Output one label only and do not explain.",qwen2vl7b,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct,bfloat16,cuda:0+cpu_offload,auto,1,2.0968,green,ok,
